# ----------------------------------------
# Bike MS - Luminate Pages
# Events Overview
# 20160401-20171214
# ----------------------------------------

Day Index,Total Events
8/26/16,"35,588"
8/27/16,"20,555"
8/28/16,"22,413"
8/29/16,"46,029"
8/30/16,"45,319"
8/31/16,"45,100"
9/1/16,"47,013"
9/2/16,"36,736"
9/3/16,"19,243"
9/4/16,"17,548"
9/5/16,"31,871"
9/6/16,"56,799"
9/7/16,"60,352"
9/8/16,"62,320"
9/9/16,"63,304"
9/10/16,"43,077"
9/11/16,"27,661"
9/12/16,"57,510"
9/13/16,"54,120"
9/14/16,"60,516"
9/15/16,"45,975"
9/16/16,"45,319"
9/17/16,"22,741"
9/18/16,"22,359"
9/19/16,"54,721"
9/20/16,"46,685"
9/21/16,"57,182"
9/22/16,"51,605"
9/23/16,"94,191"
9/24/16,"48,216"
9/25/16,"23,999"
9/26/16,"51,387"
9/27/16,"36,900"
9/28/16,"27,169"
9/29/16,"32,581"
9/30/16,"48,544"
10/1/16,"9,840"
10/2/16,"8,637"
10/3/16,"18,040"
10/4/16,"21,593"
10/5/16,"13,667"
10/6/16,"10,769"
10/7/16,"14,377"
10/8/16,"5,412"
10/9/16,"5,412"
10/10/16,"10,277"
10/11/16,"12,081"
10/12/16,"7,817"
10/13/16,"8,036"
10/14/16,"9,457"
10/15/16,"4,155"
10/16/16,"4,045"
10/17/16,"18,641"
10/18/16,"15,853"
10/19/16,"13,612"
10/20/16,"14,541"
10/21/16,"28,973"
10/22/16,"26,349"
10/23/16,"23,452"
10/24/16,"6,997"
10/25/16,"3,335"
10/26/16,"2,405"
10/27/16,"2,241"
10/28/16,"2,952"
10/29/16,55
10/30/16,711
10/31/16,"1,913"
11/1/16,"1,476"
11/2/16,492
11/3/16,"1,531"
11/4/16,"5,959"
11/5/16,"1,203"
11/6/16,437
11/7/16,"1,804"
11/8/16,"1,039"
11/9/16,"2,515"
11/10/16,820
11/11/16,492
11/12/16,547
11/13/16,492
11/14/16,875
11/15/16,437
11/16/16,601
11/17/16,492
11/18/16,"1,312"
11/19/16,273
11/20/16,109
11/21/16,"1,421"
11/22/16,765
11/23/16,656
11/24/16,219
11/25/16,164
11/26/16,875
11/27/16,765
11/28/16,"2,132"
11/29/16,"4,373"
11/30/16,"2,733"
12/1/16,765
12/2/16,"1,148"
12/3/16,547
12/4/16,765
12/5/16,"3,663"
12/6/16,"1,859"
12/7/16,"2,023"
12/8/16,"1,093"
12/9/16,601
12/10/16,"2,897"
12/11/16,765
12/12/16,"2,132"
12/13/16,492
12/14/16,"1,968"
12/15/16,55
12/16/16,820
12/17/16,55
12/18/16,55
12/19/16,"1,257"
12/20/16,"2,296"
12/21/16,"2,023"
12/22/16,"1,476"
12/23/16,437
12/24/16,109
12/25/16,219
12/26/16,273
12/27/16,"4,756"
12/28/16,"1,531"
12/29/16,"3,116"
12/30/16,"2,351"
12/31/16,"3,663"
1/1/17,"1,640"
1/2/17,"4,264"
1/3/17,"5,357"
1/4/17,"3,499"
1/5/17,"4,865"
1/6/17,"5,576"
1/7/17,"2,460"
1/8/17,"2,187"
1/9/17,"3,936"
1/10/17,"4,537"
1/11/17,"2,843"
1/12/17,"4,428"
1/13/17,"9,403"
1/14/17,"2,077"
1/15/17,"4,811"
1/16/17,"5,467"
1/17/17,"13,120"
1/18/17,"10,660"
1/19/17,"8,747"
1/20/17,"9,293"
1/21/17,"4,975"
1/22/17,"6,943"
1/23/17,"11,644"
1/24/17,"9,129"
1/25/17,"6,997"
1/26/17,"9,840"
1/27/17,"5,849"
1/28/17,"8,419"
1/29/17,"4,920"
1/30/17,"16,673"
1/31/17,"19,243"
2/1/17,"17,056"
2/2/17,"13,995"
2/3/17,"10,496"
2/4/17,"7,489"
2/5/17,"3,225"
2/6/17,"11,152"
2/7/17,"9,621"
2/8/17,"17,985"
2/9/17,"9,567"
2/10/17,"7,271"
2/11/17,"8,583"
2/12/17,"5,740"
2/13/17,"10,387"
2/14/17,"11,863"
2/15/17,"11,043"
2/16/17,"16,072"
2/17/17,"9,184"
2/18/17,"3,881"
2/19/17,"11,972"
2/20/17,"10,933"
2/21/17,"14,705"
2/22/17,"5,139"
2/23/17,"6,833"
2/24/17,"9,403"
2/25/17,"5,795"
2/26/17,"9,129"
2/27/17,"18,805"
2/28/17,"23,179"
3/1/17,"14,651"
3/2/17,"11,371"
3/3/17,"12,792"
3/4/17,"5,795"
3/5/17,"8,091"
3/6/17,"12,355"
3/7/17,"12,573"
3/8/17,"15,471"
3/9/17,"12,191"
3/10/17,"10,551"
3/11/17,"7,872"
3/12/17,"5,795"
3/13/17,"12,464"
3/14/17,"12,191"
3/15/17,"11,535"
3/16/17,"8,965"
3/17/17,"6,833"
3/18/17,"3,171"
3/19/17,"10,824"
3/20/17,"16,892"
3/21/17,"12,956"
3/22/17,"19,407"
3/23/17,"14,268"
3/24/17,"25,420"
3/25/17,"8,528"
3/26/17,"12,081"
3/27/17,"17,275"
3/28/17,"13,393"
3/29/17,"12,519"
3/30/17,"11,644"
3/31/17,"14,979"
4/1/17,"6,177"
4/2/17,"11,371"
4/3/17,"17,985"
4/4/17,"16,673"
4/5/17,"18,204"
4/6/17,"12,792"
4/7/17,"9,348"
4/8/17,"4,100"
4/9/17,"9,895"
4/10/17,"19,571"
4/11/17,"16,728"
4/12/17,"20,937"
4/13/17,"22,960"
4/14/17,"14,979"
4/15/17,"8,309"
4/16/17,"10,769"
4/17/17,"35,151"
4/18/17,"27,169"
4/19/17,"35,041"
4/20/17,"28,536"
4/21/17,"19,079"
4/22/17,"9,785"
4/23/17,"10,988"
4/24/17,"39,141"
4/25/17,"38,868"
4/26/17,"44,225"
4/27/17,"52,043"
4/28/17,"102,610"
4/29/17,"34,167"
4/30/17,"38,267"
5/1/17,"40,563"
5/2/17,"31,379"
5/3/17,"24,053"
5/4/17,"19,461"
5/5/17,"24,655"
5/6/17,"8,801"
5/7/17,"14,815"
5/8/17,"19,407"
5/9/17,"20,227"
5/10/17,"18,587"
5/11/17,"16,783"
5/12/17,"11,207"
5/13/17,"5,631"
5/14/17,"8,692"
5/15/17,"25,311"
5/16/17,"22,577"
5/17/17,"23,343"
5/18/17,"15,853"
5/19/17,"10,004"
5/20/17,"11,097"
5/21/17,"12,956"
5/22/17,"22,031"
5/23/17,"31,269"
5/24/17,"25,475"
5/25/17,"24,873"
5/26/17,"18,423"
5/27/17,"8,801"
5/28/17,"9,020"
5/29/17,"19,461"
5/30/17,"39,907"
5/31/17,"43,460"
6/1/17,"41,711"
6/2/17,"37,447"
6/3/17,"21,484"
6/4/17,"21,757"
6/5/17,"54,175"
6/6/17,"45,975"
6/7/17,"45,209"
6/8/17,"59,368"
6/9/17,"69,864"
6/10/17,"31,816"
6/11/17,"27,552"
6/12/17,"39,141"
6/13/17,"29,957"
6/14/17,"25,693"
6/15/17,"26,349"
6/16/17,"29,520"
6/17/17,"12,847"
6/18/17,"17,220"
6/19/17,"45,373"
6/20/17,"39,087"
6/21/17,"38,540"
6/22/17,"36,572"
6/23/17,"61,719"
6/24/17,"27,552"
6/25/17,"17,821"
6/26/17,"19,789"
6/27/17,"13,612"
6/28/17,"16,127"
6/29/17,"15,088"
6/30/17,"12,901"
7/1/17,"9,567"
7/2/17,"8,583"
7/3/17,"10,660"
7/4/17,"7,708"
7/5/17,"24,709"
7/6/17,"17,275"
7/7/17,"12,901"
7/8/17,"9,895"
7/9/17,"9,293"
7/10/17,"26,185"
7/11/17,"19,407"
7/12/17,"17,876"
7/13/17,"20,391"
7/14/17,"21,539"
7/15/17,"11,207"
7/16/17,"15,635"
7/17/17,"27,169"
7/18/17,"27,279"
7/19/17,"28,481"
7/20/17,"20,664"
7/21/17,"24,928"
7/22/17,"12,901"
7/23/17,"13,885"
7/24/17,"24,163"
7/25/17,"37,283"
7/26/17,"28,208"
7/27/17,"25,639"
7/28/17,"27,115"
7/29/17,"17,111"
7/30/17,"29,083"
7/31/17,"49,911"
8/1/17,"49,364"
8/2/17,"42,968"
8/3/17,"39,688"
8/4/17,"56,635"
8/5/17,"23,780"
8/6/17,"27,935"
8/7/17,"39,633"
8/8/17,"40,891"
8/9/17,"30,395"
8/10/17,"27,661"
8/11/17,"32,253"
8/12/17,"18,587"
8/13/17,"11,261"
8/14/17,"27,333"
8/15/17,"34,659"
8/16/17,"29,684"
8/17/17,"29,411"
8/18/17,"27,989"
8/19/17,"10,496"
8/20/17,"19,625"
8/21/17,"33,073"
8/22/17,"19,899"
8/23/17,"29,629"
8/24/17,"25,912"
8/25/17,"46,029"
8/26/17,"17,056"
8/27/17,"21,101"
8/28/17,"44,389"
8/29/17,"46,357"
8/30/17,"34,987"
8/31/17,"39,797"
9/1/17,"31,488"
9/2/17,"18,860"
9/3/17,"22,523"
9/4/17,"38,977"
9/5/17,"54,776"
9/6/17,"49,419"
9/7/17,"51,277"
9/8/17,"67,514"
9/9/17,"33,784"
9/10/17,"29,247"
9/11/17,"55,596"
9/12/17,"52,863"
9/13/17,"45,209"
9/14/17,"46,357"
9/15/17,"43,460"
9/16/17,"26,841"
9/17/17,"29,684"
9/18/17,"52,043"
9/19/17,"62,047"
9/20/17,"65,163"
9/21/17,"79,759"
9/22/17,"92,387"
9/23/17,"49,036"
9/24/17,"28,864"
9/25/17,"35,205"
9/26/17,"22,085"
9/27/17,"20,828"
9/28/17,"16,783"
9/29/17,"23,124"
9/30/17,"18,641"
10/1/17,"11,425"
10/2/17,"24,053"
10/3/17,"27,989"
10/4/17,"27,443"
10/5/17,"17,384"
10/6/17,"30,723"
10/7/17,"9,512"
10/8/17,"7,599"
10/9/17,"17,821"
10/10/17,"16,947"
10/11/17,"17,603"
10/12/17,"12,081"
10/13/17,"14,705"
10/14/17,"8,583"
10/15/17,"12,901"
10/16/17,"15,525"
10/17/17,"25,748"
10/18/17,"22,195"
10/19/17,"17,985"
10/20/17,"29,957"
10/21/17,"59,696"
10/22/17,"42,093"
10/23/17,"17,985"
10/24/17,"7,052"
10/25/17,"5,029"
10/26/17,"5,084"
10/27/17,"1,859"
10/28/17,547
10/29/17,"1,203"
10/30/17,"4,209"
10/31/17,"4,811"
11/1/17,"2,733"
11/2/17,"1,203"
11/3/17,"1,804"
11/4/17,875
11/5/17,"5,521"
11/6/17,929
11/7/17,601
11/8/17,"1,093"
11/9/17,"1,804"
11/10/17,"3,061"
11/11/17,273
11/12/17,"1,148"
11/13/17,875
11/14/17,"1,257"
11/15/17,"1,421"
11/16/17,"1,203"
11/17/17,547
11/18/17,55
11/19/17,164
11/20/17,"4,537"
11/21/17,"2,569"
11/22/17,929
11/23/17,492
11/24/17,164
11/25/17,219
11/26/17,383
11/27/17,"1,640"
11/28/17,"2,187"
11/29/17,"1,203"
11/30/17,437
12/1/17,"2,023"
12/2/17,601
12/3/17,164
12/4/17,"2,733"
12/5/17,"2,351"
12/6/17,984
12/7/17,"1,203"
12/8/17,"2,624"
12/9/17,"1,476"
12/10/17,"2,132"
12/11/17,"1,804"
12/12/17,"4,428"
12/13/17,"2,788"
12/14/17,"3,499"
,"13,151,822"
