# ----------------------------------------
# Bike MS - Luminate Pages
# Landing Pages
# 20160401-20171214
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Bike Registration - Join Team from Team Page (Goal 4 Conversion Rate),Bike Registration - Join Team from Team Page (Goal 4 Completions),Bike Registration - Join Team from Team Page (Goal 4 Value)
/site/PageServer?pagename=BIKE_MAM_homepage,"8,432",65.63%,"5,534",27.29%,3.19,00:02:46,0.68%,57,$0.00
/site/SPageServer/?pagename=BIKE_HOM_events&list_category_id=1895,"7,449",42.92%,"3,197",30.08%,2.47,00:03:54,1.97%,147,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27060,"5,043",24.37%,"1,229",30.26%,2.38,00:03:49,0.56%,28,$0.00
/site/PageNavigator/BIKE_OHA_Landing_Page2015.html,"4,881",61.44%,"2,999",24.20%,2.86,00:03:00,1.07%,52,$0.00
/site/SPageNavigator/BIKE_HOM_events.html,"4,855",63.52%,"3,084",14.97%,2.72,00:03:34,1.50%,73,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27923,"4,718",25.46%,"1,201",33.45%,2.28,00:04:36,0.47%,22,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27711,"4,610",22.13%,"1,020",37.55%,2.10,00:03:34,0.35%,16,$0.00
/site/PageServer?pagename=BIKE_FLS_homepage,"4,512",68.22%,"3,078",22.85%,3.17,00:02:51,0.82%,37,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27184,"3,640",21.43%,780,37.20%,1.95,00:03:47,0.25%,9,$0.00
/site/SPageServer/?list_category_id=1556&pagename=BIKE_HOM_events,"3,486",51.66%,"1,801",22.15%,3.28,00:03:44,2.32%,81,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27690,"3,274",26.33%,862,27.15%,1.88,00:03:18,0.15%,5,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27694,"3,269",20.95%,685,38.48%,2.08,00:03:37,0.24%,8,$0.00
/site/Donation2,"3,207",22.08%,708,13.88%,2.69,00:03:11,0.03%,1,$0.00
/site/PageServer?pagename=BIKE_MAM_Store,"3,174",59.92%,"1,902",34.28%,1.78,00:02:09,0.03%,1,$0.00
/site/SPageServer?list_category_id=1893&starting_postal=44212&pagename=BIKE_HOM_events,"3,153",72.50%,"2,286",84.05%,1.23,00:00:54,0.03%,1,$0.00
/site/PageServer?pagename=BIKE_PAE_homepage,"2,986",45.95%,"1,372",10.35%,3.30,00:02:46,0.07%,2,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc_2017&fr_id=28263,"2,711",1.55%,42,34.42%,2.15,00:03:33,0.11%,3,$0.00
/site/SPageNavigator/BIKE_HOM_double_your_impact.html,"2,524",63.83%,"1,611",25.36%,1.16,00:00:42,0.00%,0,$0.00
/site/SPageNavigator/BIKE_HOM_splash.htm,"2,349",9.03%,212,19.20%,4.52,00:04:44,5.66%,133,$0.00
/site/PageServer/?pagename=BIKE_WIG_Center,"1,768",45.81%,810,11.93%,2.41,00:02:29,0.45%,8,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc_2017&pc2_page=center&fr_id=28311,"1,715",25.42%,436,43.62%,2.02,00:03:54,0.58%,10,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27775,"1,698",29.27%,497,39.16%,1.97,00:03:17,0.24%,4,$0.00
/site/PageServer?pagename=BIKE_CAL_homepage,"1,690",72.60%,"1,227",49.88%,1.51,00:01:04,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_TXH_homepage,"1,608",50.00%,804,18.10%,3.01,00:03:12,0.31%,5,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27063,"1,446",20.54%,297,38.80%,1.89,00:03:11,0.41%,6,$0.00
/site/PageNavigator/BIKE_WAS_Landing_Page.html,"1,423",67.53%,961,12.51%,21.52,00:02:57,0.35%,5,$0.00
/site/SPageServer/?pagename=BIKE_HOM_events&s_src=bike-fy18-hom-eng-email-NovBikeQtrly&s_subsrc=newsletter-link-pps,"1,386",58.73%,814,43.15%,1.95,00:01:36,0.29%,4,$0.00
/site/SPageNavigator/BIKE_HOM_register.html,"1,381",58.07%,802,15.86%,3.91,00:03:58,4.71%,65,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27871,"1,380",19.49%,269,35.36%,2.27,00:04:26,0.72%,10,$0.00
/site/SPageNavigator/BIKE_HOM_splash.html&s_scr=bike-fy17,"1,287",57.58%,741,23.54%,3.10,00:02:17,2.02%,26,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27171,"1,265",17.87%,226,33.99%,2.31,00:04:25,0.32%,4,$0.00
/site/PageServer?pagename=BIKE_NCT_Landing_Page.html,"1,155",54.46%,629,53.59%,2.57,00:02:36,2.08%,24,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27249,"1,140",24.39%,278,24.65%,2.47,00:04:35,0.09%,1,$0.00
/site/SPageNavigator/BIKE_HOM_gear.html,"1,121",47.19%,529,35.77%,1.83,00:02:39,0.27%,3,$0.00
/site/PageServer?pagename=BIKE_FLC_homepage,"1,101",50.14%,552,16.80%,3.02,00:02:52,0.82%,9,$0.00
/site/PageServer?pagename=BIKE_NCT_Landing_Page,"1,096",52.92%,580,39.42%,2.57,00:02:30,0.46%,5,$0.00
/site/PageServer?pagename=BIKE_CAS_top_fr_list,"1,075",16.09%,173,60.09%,2.08,00:03:01,0.09%,1,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27771,939,11.71%,110,24.07%,1.58,00:02:32,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc_2017&pc2_page=center&fr_id=28205,933,23.79%,222,43.30%,2.02,00:03:44,0.32%,3,$0.00
/site/PageServer?pagename=BIKE_NYN_homepage,929,72.12%,670,83.75%,1.49,00:00:54,0.22%,2,$0.00
/site/PageNavigator/BIKE_CAL_2016_Landing_Page.html,919,64.74%,595,43.53%,1.80,00:01:38,0.33%,3,$0.00
/site/SPageNavigator/BIKE_HOM_splash.html?s_scr=&s_subsrc=linksmf--facebook,853,64.36%,549,25.09%,2.68,00:01:34,0.47%,4,$0.00
/site/PageServer?pagename=BIKE_KSG_Landing_Page&fr_id=20078,842,60.93%,513,17.46%,4.68,00:04:20,5.11%,43,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc_2017&fr_id=28914,814,5.90%,48,38.70%,1.94,00:02:16,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_PAE_landing_page,808,48.39%,391,24.01%,2.44,00:03:00,0.12%,1,$0.00
"/site/SPageServer?pagename=BIKE_HOM_pc_2017&pc2_page=center&fr_id=28846&s_isRegistrationThanks=true,total_amount-$0.00",789,68.95%,544,0.00%,1.54,00:02:37,0.51%,4,$0.00
/site/PageServer?pagename=BIKE_KSG_Ozarks_Ride,765,66.93%,512,54.90%,2.01,00:01:51,0.52%,4,$0.00
/site/PageServer?pagename=BIKE_MDM_Landing_Page,764,46.99%,359,23.04%,22.88,00:02:49,0.13%,1,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc_2017&fr_id=29055,717,1.67%,12,30.54%,2.17,00:04:04,0.42%,3,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27805,707,24.19%,171,31.82%,2.03,00:03:19,0.57%,4,$0.00
/site/PageServer?pagename=BIKE_CTN_Landing_Page,687,75.69%,520,14.99%,23.22,00:02:23,0.15%,1,$0.00
/site/SPageServer/?pagename=BIKE_HOM_volunteers,663,62.14%,412,21.42%,3.43,00:03:49,4.83%,32,$0.00
/site/PageServer?pagename=BIKE_CAL_epledge,661,70.95%,469,29.20%,1.98,00:01:17,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&fr_id=27876,655,1.98%,13,31.30%,2.33,00:03:28,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_aboutBikeMS&fr_id=27876,640,70.31%,450,26.09%,2.51,00:03:22,1.88%,12,$0.00
/site/SPageServer/?list_category_id=1556&starting_postal=02125&pagename=BIKE_HOM_events&s_src=bike-fy17-mam-reg-cpc&s_subsrc=adwords-link,606,57.92%,351,27.39%,1.89,00:01:43,1.49%,9,$0.00
/site/PageServer?pagename=BIKE_MAM_Downloads,594,58.59%,348,31.99%,1.83,00:02:30,0.17%,1,$0.00
/site/PageServer?pagename=BIKE_TNS_homepage,589,69.95%,412,45.33%,1.40,00:00:53,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_PAE_press_logos,573,64.22%,368,37.00%,1.64,00:02:04,0.00%,0,$0.00
/site/PageNavigator/BIKE_HOM_pc.html,553,30.92%,171,20.61%,3.76,00:07:53,0.54%,3,$0.00
/site/SPageServer/?pagename=BIKE_HOM_events&state=NC,545,61.10%,333,44.95%,2.32,00:02:34,2.94%,16,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27084,535,15.14%,81,39.25%,1.98,00:03:36,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_KSG_Landing_Page,532,68.80%,366,17.86%,3.63,00:04:06,1.50%,8,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27703,523,12.43%,65,33.46%,2.26,00:04:16,0.38%,2,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc_2017&fr_id=28894,518,1.74%,9,34.36%,1.97,00:02:53,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27719,515,14.76%,76,25.24%,2.22,00:03:59,0.39%,2,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27681,499,20.44%,102,20.24%,2.12,00:03:32,0.60%,3,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27498,484,25.83%,125,22.93%,1.94,00:02:45,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_PAE_CTS_coupons,475,50.11%,238,27.58%,1.57,00:02:34,0.00%,0,$0.00
/site/PageServer/?pagename=BIKE_TXH_Center,451,43.90%,198,9.76%,2.44,00:02:25,0.22%,1,$0.00
/site/PageServer?pagename=BIKE_MDM_homepage,448,59.15%,265,35.49%,2.18,00:01:27,0.22%,1,$0.00
/site/PageServer?pagename=BIKE_FLS_history,428,70.79%,303,70.79%,1.30,00:01:27,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&fr_id=27053,423,4.02%,17,32.62%,2.13,00:03:00,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_DED_homepage,416,90.62%,377,70.91%,1.27,00:00:26,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_OHO_homepage,411,76.89%,316,51.09%,1.41,00:01:03,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_aboutBikeMS&fr_id=28105,393,73.28%,288,29.77%,2.15,00:02:35,1.02%,4,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc_2017&fr_id=28198,391,2.56%,10,19.18%,2.81,00:05:02,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27173,390,15.13%,59,7.95%,1.98,00:03:12,0.51%,2,$0.00
/site/SPageServer?pagename=BIKE_HOM_aboutBikeMS&fr_id=27053,376,68.62%,258,23.94%,1.98,00:02:08,1.06%,4,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&fr_id=27711,368,2.72%,10,26.90%,2.05,00:01:59,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_HOM_pc&s_src=bike-fy17-hom-eng-email&s_subsrc=newsletter-link-pps,366,28.96%,106,36.07%,2.70,00:03:28,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_CAS_EventDetails_Routes,362,76.80%,278,35.36%,1.43,00:01:45,0.00%,0,$0.00
/site/PageServer/?pagename=BIKE_NVL_FAQ,352,67.05%,236,72.16%,1.29,00:00:58,0.00%,0,$0.00
/site/SPageNavigator/BIKE_HOM_money_goes.html,348,39.94%,139,51.44%,2.00,00:03:52,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_WhyBikeMS&s_src=BMS-HOM-ADS&s_subsrc=HOM-GS-ALL-SEM,343,0.58%,2,36.73%,2.71,00:03:14,1.17%,4,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc_2017&fr_id=28272,325,4.62%,15,39.69%,2.14,00:03:05,0.31%,1,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&fr_id=28099,318,6.60%,21,38.36%,2.27,00:03:57,0.94%,3,$0.00
/site/SPageServer?pagename=BIKE_HOM_aboutBikeMS&fr_id=27711,288,67.01%,193,24.65%,2.01,00:02:27,0.69%,2,$0.00
/site/SPageServer/?list_category_id=1453&starting_postal=14456&pagename=BIKE_HOM_events&s_src=bike-fy17-nyr-reg-display&s_subsrc=googledisplay-728x90-cyc,287,88.85%,255,83.28%,1.22,00:01:05,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_OHG_homepage,283,67.14%,190,50.53%,1.53,00:01:03,0.35%,1,$0.00
/site/SPageNavigator/BIKE_HOM_volunteers.html,276,59.06%,163,34.42%,3.60,00:03:23,4.35%,12,$0.00
/site/SPageServer/?s_subsrc=OHA-GC&pagename=BIKE_HOM_events&s_src=BMS-HOM-ADS,274,12.77%,35,41.24%,1.07,00:00:34,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_HOM_pc&fr_id=29055,270,37.41%,101,40.74%,2.54,00:03:19,0.00%,0,$0.00
/site/SPageServer/?pagename=BIKE_HOM_donate&fr_id=27003,267,35.96%,96,65.17%,1.99,00:02:48,0.00%,0,$0.00
/site/SPageNavigator/BIKE_HOM_fundraising_tools.html,265,32.83%,87,10.94%,2.71,00:04:54,1.13%,3,$0.00
/site/PageServer/?pagename=BIKE_CAL_Training_Safety,262,65.27%,171,23.66%,1.88,00:02:14,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_view=report-team&pc2_page=tprogress&fr_id=27695,262,12.60%,33,32.82%,1.63,00:02:30,0.38%,1,$0.00
/site/PageNavigator/BIKE_CAS_TrainingRidesList.html,257,41.25%,106,58.75%,1.28,00:02:05,0.00%,0,$0.00
/site/SPageServer/?list_category_id=1448&pagename=BIKE_HOM_events&s_src=bike-fy17-ctn-reg-display&s_subsrc=googledisplay-728x90-dem,256,85.55%,219,81.64%,1.06,00:00:20,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27718,255,17.65%,45,44.31%,2.44,00:03:56,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc_2017&fr_id=28915,253,1.19%,3,28.46%,2.26,00:03:53,0.00%,0,$0.00
/site/SPageNavigator/BIKE_HOM_teams_info.html,241,35.68%,86,13.69%,4.21,00:06:02,5.39%,13,$0.00
/site/SPageServer?pagename=BIKE_HOM_aboutBikeMS&fr_id=27923,237,73.84%,175,27.43%,2.29,00:02:42,0.84%,2,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&fr_id=27905,235,3.40%,8,28.51%,2.71,00:05:56,0.00%,0,$0.00
/site/PageServer/?s_AffiliateSecCatId=1&pw_id=10781&pagename=BIKE_CAS_Volunteer_RideMarshal,227,77.53%,176,67.40%,1.26,00:00:45,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_NYN_Bike_Rentals,225,63.11%,142,46.22%,1.52,00:01:54,0.44%,1,$0.00
/site/PageServer?pagename=BIKE_PAE_splash,221,47.96%,106,5.43%,4.71,00:05:24,1.36%,3,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&fr_id=27696,221,4.52%,10,9.50%,2.05,00:03:03,0.00%,0,$0.00
/site/SPageServer/?list_category_id=1875&pagename=BIKE_HOM_events,217,62.21%,135,28.11%,2.28,00:02:27,0.46%,1,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc_2017&fr_id=28197,215,1.86%,4,34.42%,2.11,00:02:32,0.47%,1,$0.00
/site/PageServer?pagename=BIKE_WIG_homepage,213,70.42%,150,63.85%,1.80,00:00:49,0.00%,0,$0.00
/site/Donation2?idb=1635384258&df_id=57382&FR_ID=27876&mfc_pref=T&PROXY_ID=15425303&PROXY_TYPE=20&57382.donation=form1,209,92.34%,193,79.90%,1.24,00:00:55,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_view=report-personal&pc2_page=progress&fr_id=27053,206,25.73%,53,45.15%,1.77,00:03:12,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_WVT_homepage,205,88.29%,181,66.34%,1.18,00:00:26,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_CAS_Incentives,202,51.49%,104,76.24%,1.31,00:01:15,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc_2017&fr_id=28207,202,2.97%,6,30.20%,2.50,00:03:26,0.00%,0,$0.00
/site/SPageNavigator/BIKE_HOM_splash.html?s_src=bike-fy17-hom-reg-email&s_subsrc=emailpps--newsletter,199,49.25%,98,42.71%,2.52,00:02:27,1.01%,2,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_view=report-personal&pc2_page=progress&fr_id=27006,194,17.53%,34,40.21%,1.82,00:02:53,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_aboutBikeMS&fr_id=27184,192,68.23%,131,28.12%,2.07,00:02:54,1.04%,2,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_view=report-personal&pc2_page=progress&fr_id=27043,192,26.04%,50,41.15%,1.88,00:03:09,0.00%,0,$0.00
/site/Donation2?idb=2142680001&57826.donation=form1&df_id=57826&FR_ID=28263&mfc_pref=T&PROXY_ID=15547782&PROXY_TYPE=20&s_subsrc=bfDskFbPfStream&s_src=boundlessfundraising,190,83.68%,159,31.05%,1.44,00:01:59,0.00%,0,$0.00
/site/PageServer/?pagename=BIKE_PAE_fundraising,190,71.58%,136,53.68%,1.76,00:02:43,0.53%,1,$0.00
/site/SPageServer?pagename=BIKE_HOM_aboutBikeMS&fr_id=27759,190,70.00%,133,26.84%,1.89,00:01:44,0.53%,1,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_view=report-team&pc2_page=tprogress&fr_id=27053,190,15.79%,30,64.74%,1.77,00:02:34,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_aboutBikeMS&fr_id=27007,187,68.45%,128,22.46%,2.40,00:02:41,0.53%,1,$0.00
/site/Donation2?idb=677961402&55829.donation=form1&df_id=55829&FR_ID=27007&mfc_pref=T&PROXY_ID=2712965&PROXY_TYPE=20,183,75.41%,138,59.56%,1.78,00:01:36,0.00%,0,$0.00
/site/PageServer/?pagename=BIKE_CAL_FAQ,182,75.82%,138,76.92%,1.73,00:01:56,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc_2017&fr_id=29052,179,1.12%,2,38.55%,2.15,00:03:30,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&fr_id=27007,176,1.70%,3,19.89%,2.22,00:02:37,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=25681,170,9.41%,16,6.47%,5.18,00:07:34,1.76%,3,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=25890,170,14.12%,24,10.00%,3.08,00:03:41,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_WIG_FAQ,169,79.88%,135,59.17%,1.36,00:00:53,0.59%,1,$0.00
/site/SPageServer?pagename=BIKE_HOM_aboutBikeMS&fr_id=28099,169,73.37%,124,27.81%,2.06,00:02:49,1.78%,3,$0.00
/site/Donation2?idb=361452841&df_id=57382&FR_ID=27876&mfc_pref=T&PROXY_ID=2738058&PROXY_TYPE=20&57382.donation=form1,159,72.33%,115,19.50%,2.33,00:04:10,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_view=report-personal&pc2_page=progress&fr_id=27048,156,15.38%,24,43.59%,1.90,00:04:04,0.64%,1,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc_2017&fr_id=28847,154,0.65%,1,34.42%,2.06,00:01:51,0.00%,0,$0.00
/site/PageNavigator/BIKE_NYN_NYC_Event_Details.html,153,75.16%,115,70.59%,1.14,00:00:36,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_FLN_homepage,153,74.51%,114,77.12%,1.54,00:00:42,0.00%,0,$0.00
"/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=28105&s_isRegistrationThanks=true,total_amount-$45.00",152,7.24%,11,0.00%,3.38,00:02:47,0.00%,0,$0.00
/site/PageServer/?pagename=BIKE_MDM_FAQ,151,68.87%,104,34.44%,2.00,00:01:05,0.00%,0,$0.00
/site/Donation2?idb=1138530038&df_id=58680&58680.donation=form1&FR_ID=29046&mfc_pref=T&PROXY_ID=7277152&PROXY_TYPE=20,150,86.00%,129,49.33%,1.63,00:03:05,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_view=report-team&pc2_page=tprogress&fr_id=28099,150,19.33%,29,60.67%,1.69,00:02:50,0.67%,1,$0.00
"/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27042&s_isRegistrationThanks=true,undiscounted_amount-$20.16,discount_code-Top+fundraisers+from+2015,discounted_amount-$20.16,total_amount-$0.00",147,1.36%,2,1.36%,4.59,00:06:53,0.68%,1,$0.00
/site/SPageServer?list_category_id=1893&starting_postal=44212&pagename=BIKE_HOM_events&s_src=BMS-HOM-ADS&s_subsrc=OHA-OHI-OUT-FB-97547270,146,89.73%,131,88.36%,1.14,00:00:12,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27093,146,10.27%,15,13.01%,2.58,00:04:13,0.68%,1,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc_2017&fr_id=28897,144,0.69%,1,32.64%,2.33,00:03:02,0.69%,1,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc_2017&fr_id=28953,143,1.40%,2,34.27%,2.05,00:02:10,0.70%,1,$0.00
/site/SPageServer/?pagename=BIKE_PAE_Landing_Page,143,37.06%,53,11.89%,3.64,00:04:12,4.20%,6,$0.00
/site/Donation2?idb=820614872&df_id=58644&FR_ID=29042&mfc_pref=T&58644.donation=form1&PROXY_ID=534172&PROXY_TYPE=22&amp;df_id=58644&idb=764659754&amp;FR_ID=29042&amp;58644.donation=root&amp;PROXY_ID=534172&amp;PROXY_TYPE=22&amp;mfc_pref=T,142,69.72%,99,28.17%,2.26,00:03:40,0.00%,0,$0.00
/site/SPageServer?list_category_id=1893&starting_postal=44212&pagename=BIKE_HOM_events&s_src=BMS-HOM-ADS&s_subsrc=OHA-OHI-CYC-FB-97547275,142,98.59%,140,84.51%,1.13,00:00:24,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_PAE_safety_equipment,141,85.11%,120,63.12%,1.21,00:00:27,0.00%,0,$0.00
/site/SPageServer/?pagename=BIKE_HOM_experiencebike,141,68.09%,96,38.30%,2.25,00:02:50,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27705,137,28.47%,39,27.01%,2.55,00:04:24,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_double_your_impact,136,62.50%,85,15.44%,1.91,00:02:27,0.74%,1,$0.00
/site/SPageServer/?s_subsrc=adwords-link-awareness&pagename=BIKE_HOM_splash&s_src=bike-fy17-was -reg-display,135,66.67%,90,54.07%,1.16,00:00:27,0.00%,0,$0.00
/site/PageServer?pagename=BIKE_KSG_Nebraska,131,68.70%,90,58.78%,1.85,00:01:41,0.76%,1,$0.00
/site/SPageServer/?pagename=BIKE_HOM_events&fr_id=27003,130,16.92%,22,20.00%,2.02,00:02:33,1.54%,2,$0.00
/site/SPageServer?pagename=BIKE_HOM_aboutBikeMS&fr_id=27693,129,79.07%,102,23.26%,2.16,00:03:02,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&fr_id=27092,129,0.78%,1,33.33%,1.91,00:02:26,0.00%,0,$0.00
/site/Donation2?idb=186821524&df_id=55952&FR_ID=27061&mfc_pref=T&PROXY_ID=2201615&PROXY_TYPE=20&55952.donation=form1,127,81.89%,104,19.69%,2.69,00:03:43,0.00%,0,$0.00
/site/Donation2?58752.donation=form1&idb=229499364&df_id=58752&FR_ID=29055&mfc_pref=T&PROXY_ID=15053854&PROXY_TYPE=20&NONCE_TOKEN=E87773A911950932B78990DE60D18625,125,76.80%,96,37.60%,1.76,00:02:37,0.00%,0,$0.00
/site/Donation2?idb=1016210695&df_id=55952&FR_ID=27061&PROXY_ID=1851642&PROXY_TYPE=20&55952.donation=form1,124,71.77%,89,29.03%,2.59,00:03:09,0.00%,0,$0.00
/site/PageServer/?pagename=BIKE_WIG_FAQ,124,72.58%,90,60.48%,1.49,00:01:25,0.00%,0,$0.00
