# ----------------------------------------,,,,,,,
# Bike MS - Luminate Pages,,,,,,,
# Pages,,,,,,,
# 20160401-20171214,,,,,,,
# ----------------------------------------,,,,,,,
,,,,,,,
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/site/TR/Bike/MAMBikeEvents?pg=entry&fr_id=28124,"48,410","34,161",0:01:09,"27,499",32.93%,32.74%,$0.00 
/site/SPageServer?starting_postal=&state=MN&pagename=BIKE_HOM_events&s_src=BMS-HOM-ADS&s_subsrc=MNM-GC-BMS,"46,652","43,428",0:05:02,"43,415",19.76%,91.85%,$0.00 
/site/TR?fr_id=27080&pg=entry&s_src=BMS-HOM-ADS&s_src=BMS-HOM-ADS&s_subsrc=CAN-GC,"46,338","41,000",0:04:20,"40,988",88.25%,87.54%,$0.00 
/site/TR/Bike/NCTBikeEvents?pg=entry&fr_id=27695&s_src=BMS-HOM-ADS&s_subsrc=NCT-GC,"46,148","41,796",0:04:15,"41,769",83.16%,88.39%,$0.00 
/site/TR/Bike/COCBikeEvents?pg=entry&fr_id=27037&s_src=BMS-HOM-ADS&s_subsrc=COC-GC,"44,984","42,077",0:04:36,"42,066",29.65%,91.38%,$0.00 
/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=29316,"43,320","31,303",0:01:26,"27,371",44.34%,41.12%,$0.00 
/site/TR?px=10524028&fr_id=28894&pg=personal,"42,044","39,990",0:02:18,"39,974",92.79%,92.98%,$0.00 
/site/TR/Bike/CASBikeEvents?pg=entry&fr_id=29046,"41,348","30,494",0:02:01,"23,836",33.17%,39.68%,$0.00 
/site/TR/Bike/MNMBikeEvents?pg=entry&fr_id=27006,"40,286","29,267",0:01:24,"22,707",14.48%,33.16%,$0.00 
/site/TR/Bike/KSGBikeEvents?pg=entry&fr_id=27065,"40,280","31,142",0:02:06,"28,642",66.48%,60.70%,$0.00 
/site/SPageServer?starting_postal=08003&list_category_id=1895&state=&pagename=BIKE_HOM_events&s_src=BMS-HOM-ADS&s_src=BMS-HOM-ADS&s_subsrc=PAE-GC,"38,433","34,692",0:04:12,"34,683",89.32%,88.92%,$0.00 
/site/TR/Bike/MOSBikeEvents?pg=entry&fr_id=28272,"38,266","26,141",0:01:37,"20,762",29.47%,32.98%,$0.00 
/site/TR?fr_id=27003&pg=informational&sid=13240,"37,174","29,483",0:01:21,"10,933",16.87%,32.34%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27006,"37,055","25,204",0:04:12,"17,174",25.02%,54.34%,$0.00 
/site/TR/Bike/NCTBikeEvents?pg=entry&fr_id=28911,"36,910","26,608",0:01:37,"21,929",35.59%,38.70%,$0.00 
/site/TR?fr_id=28263&pg=informational&sid=14153,"35,692","24,935",0:00:38,"1,500",30.93%,10.74%,$0.00 
/site/TR/Bike/NYNBikeEvents?pg=entry&fr_id=27764&s_src=BMS-HOM-ADS&s_subsrc=NYN-GC,"35,659","30,968",0:04:28,"30,955",86.20%,85.69%,$0.00 
/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=27149&s_src=BMS-HOM-ADS&s_subsrc=TXH-GC,"35,617","33,487",0:04:19,"33,477",20.31%,92.18%,$0.00 
/site/TR/Bike/WIGBikeEvents?pg=entry&fr_id=28198,"34,262","23,670",0:01:26,"19,170",27.42%,32.10%,$0.00 
/site/TR/Bike/WASBikeEvents?pg=entry&fr_id=27170,"33,613","22,318",0:01:22,"16,831",27.29%,33.58%,$0.00 
/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=27923,"33,318","21,780",0:01:10,"16,765",26.34%,29.37%,$0.00 
/site/TR/Bike/MOSBikeEvents?pg=entry&fr_id=27053,"33,010","21,745",0:01:31,"17,375",29.37%,35.07%,$0.00 
/site/TR?fr_id=27061&amp;pg=entry,"32,606","27,699",0:01:26,"26,126",18.73%,44.23%,$0.00 
/site/TR/Bike/WIGBikeEvents?pg=entry&fr_id=27039&s_src=BMS-HOM-ADS&s_subsrc=WIG-GC,"32,100","28,660",0:03:59,"28,644",65.52%,87.31%,$0.00 
/site/TR/Bike/WASBikeEvents?pg=entry&fr_id=28273,"31,803","21,853",0:01:36,"17,213",34.45%,34.65%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27003,"31,672","22,541",0:03:34,"9,593",24.24%,46.61%,$0.00 
/site/TR/Bike/MAMBikeEvents?pg=entry&fr_id=27048,"31,509","22,935",0:01:11,"19,287",19.50%,32.71%,$0.00 
/site/PageServer?pagename=BIKE_PAE_Landing_Page,"30,836","25,374",0:01:58,"19,162",36.72%,48.89%,$0.00 
/site/PageNavigator/BIKE_WAS_Landing_Page.html,"30,762","1,480",0:00:08,"1,423",12.51%,4.37%,$0.00 
/site/TR/Bike/UTUBikeEvents?pg=entry&fr_id=27426&s_src=BMS-HOM-ADS&s_subsrc=UTU-GC,"30,639","28,603",0:04:37,"28,593",27.08%,91.24%,$0.00 
/site/TR?fr_id=28263&pg=informational&sid=13239&s_src=bike-fy17-txh-reg-social&s_subsrc=twitter-link-cyc-bpbuy,"30,577","26,281",0:02:51,"26,267",85.84%,83.80%,$0.00 
/site/TR/Bike/FLNBikeEvents?pg=entry&fr_id=29045,"29,967","20,549",0:01:49,"16,314",33.33%,36.92%,$0.00 
/site/TR?fr_id=28263&pg=informational&sid=13239,"29,332","20,276",0:00:53,"3,229",33.58%,17.71%,$0.00 
/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=29052,"29,194","19,577",0:01:16,"14,285",26.92%,27.98%,$0.00 
/site/TR/Bike/CANBikeEvents?pg=entry&fr_id=28894,"29,192","20,874",0:01:34,"12,673",21.28%,32.61%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27764,"28,902","19,333",0:04:32,"13,160",38.81%,54.13%,$0.00 
/site/TR?fr_id=28216&pg=informational&sid=13242,"28,524","22,323",0:03:46,"7,076",28.47%,45.27%,$0.00 
/site/TR?fr_id=27764&pg=informational&sid=13240,"28,358","21,506",0:01:07,"7,972",41.94%,29.49%,$0.00 
/site/TR?fr_id=27003&pg=informational&sid=13242,"28,132","23,835",0:03:54,"10,919",14.91%,64.83%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_events,"27,274","20,770",0:02:24,"14,912",28.49%,47.64%,$0.00 
/site/TR/Bike/ILDBikeEvents?pg=entry&fr_id=28197,"27,237","18,974",0:01:36,"14,891",20.45%,35.89%,$0.00 
/site/TR/Bike/FLNBikeEvents?pg=entry&fr_id=27711,"26,985","17,277",0:01:16,"13,608",28.02%,30.21%,$0.00 
/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=27923&s_src=BMS-HOM-ADS&s_subsrc=TXH-SAT-GC,"26,933","23,680",0:04:07,"23,654",87.57%,86.31%,$0.00 
/site/TR/Bike/PAEBikeEvents?pg=entry&fr_id=28215,"26,513","19,014",0:01:27,"14,634",35.54%,35.07%,$0.00 
/site/TR?fr_id=27080&pg=entry,"26,230","22,260",0:01:40,"21,496",28.11%,45.91%,$0.00 
/site/TR?fr_id=29055&pg=informational&sid=13242,"25,942","21,415",0:04:36,"6,440",36.38%,59.71%,$0.00 
/site/TR/Bike/WIGBikeEvents?pg=entry&fr_id=27039,"25,759","16,382",0:01:09,"11,870",21.32%,29.91%,$0.00 
/site/TR?fr_id=27426&pg=informational&sid=13239,"25,444","21,964",0:04:21,"20,505",57.96%,82.40%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27048,"25,234","17,534",0:04:22,"13,458",38.45%,57.77%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27037,"24,629","16,868",0:04:19,"11,170",30.85%,52.93%,$0.00 
/site/TR/Bike/CASBikeEvents?pg=entry&fr_id=27876&s_src=BMS-HOM-ADS&s_subsrc=CAS-GC,"24,514","21,874",0:03:49,"21,868",88.06%,87.10%,$0.00 
/site/PageServer?pagename=BIKE_HOM_pc,"24,380","19,836",0:02:23,"18,635",30.02%,44.33%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=28105,"24,334","16,154",0:04:36,"6,659",38.95%,51.02%,$0.00 
/site/TR?fr_id=28263&pg=informational&sid=13231,"24,236","20,490",0:03:23,"5,743",33.82%,41.98%,$0.00 
/site/TR/Bike/ILDBikeEvents?pg=entry&fr_id=27043,"23,562","17,007",0:01:31,"13,278",23.22%,41.85%,$0.00 
/site/TR/Bike/OHABikeEvents?pg=entry&fr_id=28892,"23,436","16,584",0:01:30,"13,214",34.61%,34.06%,$0.00 
/site/TR/Bike/NCTBikeEvents?pg=entry&fr_id=27695,"23,404","15,116",0:01:17,"10,812",25.87%,31.79%,$0.00 
/site/TR?fr_id=27061&pg=informational&sid=13242,"23,023","17,214",0:01:07,"1,843",38.64%,21.65%,$0.00 
/site/TR/Bike/MNMBikeEvents?pg=entry&fr_id=27184,"22,820","16,077",0:01:26,"13,702",36.29%,40.36%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_aboutBikeMS,"22,429","17,232",0:00:56,"3,323",25.86%,26.44%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc_2017&pc2_page=center&fr_id=28914,"22,387","14,055",0:04:02,"6,737",43.25%,50.05%,$0.00 
/site/TR?fr_id=28105&pg=informational&sid=13240,"22,291","16,506",0:01:29,"6,178",37.14%,30.04%,$0.00 
/site/TR/Bike/KSGBikeEvents?pg=entry&fr_id=28811,"22,226","15,952",0:01:41,"12,363",41.14%,38.11%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27876,"22,217","15,010",0:04:38,"9,747",38.08%,53.50%,$0.00 
/site/TR/Bike/CANBikeEvents?pg=entry&amp;fr_id=28894,"21,838","18,240",0:02:03,"17,157",29.63%,46.99%,$0.00 
/site/TR/Bike/CANBikeEvents?pg=entry&fr_id=27080,"21,816","14,378",0:01:06,"8,556",30.85%,29.43%,$0.00 
/site/TR/Bike/MNMBikeEvents?pg=entry&fr_id=28893,"21,697","15,541",0:01:46,"12,731",36.56%,41.17%,$0.00 
/site/TR?fr_id=27764&pg=informational&sid=13242,"21,170","16,505",0:02:36,"2,655",65.16%,52.18%,$0.00 
/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=27149,"20,995","14,168",0:01:30,"10,422",6.66%,30.10%,$0.00 
/site/SPageServer?starting_postal=08003&list_category_id=1895&state=&pagename=BIKE_HOM_events&s_src=BMS-HOM-ADS&s_subsrc=PAE-GC,"20,862","18,487",0:04:17,"18,468",60.27%,87.27%,$0.00 
/site/TR/Bike/OHABikeEvents?pg=entry&fr_id=27178,"20,678","13,797",0:01:15,"11,254",24.92%,32.79%,$0.00 
/site/TR/Bike/NCTBikeEvents?pg=entry&fr_id=28283,"20,253","13,966",0:01:23,"11,435",33.17%,33.51%,$0.00 
/site/TR?fr_id=27061&pg=informational&sid=13238,"19,861","16,005",0:02:01,"2,886",45.26%,33.01%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27080,"19,835","13,710",0:04:36,"10,475",41.29%,55.11%,$0.00 
/site/TR?fr_id=27061&pg=informational&sid=13240,"19,808","14,851",0:00:38,"1,098",34.49%,12.07%,$0.00 
/site/TR/Bike/MNMBikeEvents?pg=entry&fr_id=29178,"19,559","14,774",0:01:19,"11,366",37.18%,34.94%,$0.00 
/site/TR/Bike/MDMBikeEvents?pg=entry&fr_id=28915,"19,523","13,764",0:01:34,"10,575",34.38%,37.42%,$0.00 
/site/TR/Bike/COCBikeEvents?pg=entry&fr_id=27037,"19,190","12,625",0:01:14,"6,987",24.96%,35.05%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&fr_id=28065&s_test=TRUE,"18,988","16,570",0:00:50,"4,175",6.60%,11.89%,$0.00 
/site/TR/Bike/UTUBikeEvents?pg=entry&fr_id=27426,"18,760","12,622",0:01:24,"10,349",12.28%,36.59%,$0.00 
/site/TR?fr_id=28263&pg=informational&sid=14056&tab=team,"18,743","14,940",0:01:04,"1,125",43.99%,22.11%,$0.00 
/site/TR?fr_id=28263&pg=informational&sid=14259,"18,567","16,309",0:05:28,"9,467",52.69%,70.57%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc_2017&pc2_page=center&fr_id=29055,"18,395","11,005",0:04:12,"5,100",44.03%,47.92%,$0.00 
/site/TR/Bike/PAXBikeEvents?pg=entry&fr_id=28311,"18,257","12,548",0:01:33,"9,538",33.36%,33.31%,$0.00 
/site/PageServer?pagename=BIKE_MDM_Landing_Page,"18,239",799,0:00:07,764,23.07%,3.98%,$0.00 
/site/TR/Bike/VARBikeEvents?pg=entry&fr_id=28847,"18,079","12,120",0:01:30,"9,365",31.73%,31.94%,$0.00 
/site/TR/Bike/CANBikeEvents?pg=entry&fr_id=27080&s_src=BMS-HOM-ADS&s_subsrc=CAN-GC,"17,844","15,350",0:03:30,"15,332",54.31%,83.46%,$0.00 
/site/TR/Bike/MNMBikeEvents?pg=entry&fr_id=28209,"17,843","12,475",0:01:29,"9,323",34.04%,32.39%,$0.00 
/site/TR?fr_id=28263&pg=informational&sid=14056&tab=ind,"17,747","13,364",0:01:59,"3,738",53.00%,39.05%,$0.00 
/site/TR/Bike/UTUBikeEvents?pg=entry&fr_id=28813,"17,746","12,841",0:01:32,"10,388",37.27%,37.63%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27695,"17,393","11,930",0:04:52,"8,178",39.78%,55.27%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27053,"17,272","11,696",0:04:41,"7,403",39.80%,52.88%,$0.00 
/site/SPageNavigator/BIKE_HOM_splash.html?s_src=BMS-HOM-ADS&s_subsrc=HOM-GS-ALL-SEM,"17,176","15,745",0:02:58,"15,740",51.10%,88.43%,$0.00 
/site/TR/Bike/CALBikeEvents?pg=entry&fr_id=28217,"16,521","11,050",0:01:16,"6,853",35.68%,30.96%,$0.00 
/site/PageServer?pagename=BIKE_CTN_Landing_Page,"16,424",705,0:00:05,687,14.99%,4.00%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc_2017&pc2_page=center&fr_id=29046,"16,388","10,013",0:04:08,"4,928",41.84%,49.51%,$0.00 
/site/TR/Bike/MAMBikeEvents?pg=entry&fr_id=28104,"16,324","10,598",0:01:08,"8,533",28.97%,29.57%,$0.00 
/site/TR?fr_id=28216&pg=informational&sid=13231,"16,294","12,687",0:01:42,"2,054",40.50%,26.70%,$0.00 
/site/TR/Bike/FLSBikeEvents?pg=entry&fr_id=28099,"16,185","9,783",0:01:25,"5,186",33.41%,27.01%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27170,"16,122","11,269",0:04:48,"8,380",41.89%,55.51%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27039,"16,087","10,505",0:04:23,"7,023",42.12%,51.51%,$0.00 
/site/TR,"15,905","11,303",0:00:38,"4,444",8.25%,12.13%,$0.00 
/site/PageNavigator/BIKE_TXH_2015BikeList.html,"15,628","13,257",0:01:24,"10,813",37.16%,49.68%,$0.00 
/site/TR/Bike/KSGBikeEvents?pg=entry&fr_id=27063,"15,537","11,047",0:01:42,"9,733",56.48%,49.53%,$0.00 
/site/TR?fr_id=27006&pg=informational&sid=13240,"15,389","11,597",0:01:53,"4,742",25.29%,35.57%,$0.00 
/site/TR?fr_id=27003&pg=informational&sid=14060,"15,269","13,198",0:05:06,"8,119",0.46%,70.15%,$0.00 
/site/TR?fr_id=27764&pg=informational&sid=13239,"15,245","10,191",0:02:49,"1,716",43.40%,37.49%,$0.00 
/site/TR/Bike/ORCBikeEvents?pg=entry&fr_id=27007,"15,213","10,646",0:01:14,"8,703",21.00%,28.34%,$0.00 
/site/TR/Bike/NJMBikeEvents?pg=entry&fr_id=28897,"15,087","10,639",0:01:34,"7,735",32.34%,36.00%,$0.00 
/site/TR?fr_id=28263&pg=informational&sid=13239&skip_login_page=true&fr_tm_opt=existing&s_fr_tm_opt=existing&ptype=55713&s_ptype=55713,"14,717","12,100",0:04:32,700,51.11%,40.11%,$0.00 
/site/TR/Bike/TNSBikeEvents?pg=entry&fr_id=28953,"14,596","10,606",0:01:53,"8,781",45.11%,42.89%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc_2017&pc2_page=center&fr_id=28272,"14,552","8,604",0:03:47,"4,045",38.29%,46.24%,$0.00 
/site/TR?fr_id=28263&pg=informational&sid=14146,"14,481","12,160",0:02:09,"3,320",34.46%,28.93%,$0.00 
/site/TR?fr_id=27037&pg=entry,"14,372","12,227",0:01:28,"11,338",20.06%,43.22%,$0.00 
/site/TR?fr_id=27061&pg=informational&sid=13239,"14,337","9,581",0:02:24,"1,588",36.96%,31.46%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc_2017&pc2_page=center&fr_id=28911,"14,322","8,733",0:04:04,"4,253",46.10%,49.88%,$0.00 
/site/TR?fr_id=27876&pg=informational&sid=13240,"14,250","10,470",0:02:02,"2,304",46.38%,33.90%,$0.00 
/site/SPageServer?list_category_id=1893&starting_postal=44212&pagename=BIKE_HOM_events&s_src=BMS-HOM-ADS&s_subsrc=OHA-GC,"14,189","13,168",0:04:50,"13,160",89.40%,91.21%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27043,"14,140","9,332",0:04:44,"6,094",30.79%,51.63%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc_2017&pc2_page=center&fr_id=28198,"14,041","8,166",0:03:42,"4,417",38.87%,45.57%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc_2017&pc2_page=center&fr_id=28791,"13,973","8,905",0:04:24,"4,756",43.10%,50.64%,$0.00 
/site/TR?fr_id=27060&amp;pg=entry,"13,931","11,646",0:01:34,"11,053",20.16%,46.19%,$0.00 
/site/SPageServer/?pagename=BIKE_HOM_events&list_category_id=1895,"13,884","10,501",0:02:21,"7,449",29.71%,42.35%,$0.00 
/site/TR/Bike/ILDBikeEvents?pg=entry&fr_id=28197&s_src=bike-fy17-ild-reg-display&s_subsrc=adwords-link-awareness,"13,846","13,002",0:02:06,"12,992",67.36%,84.31%,$0.00 
/site/TR/Bike/OHABikeEvents?pg=entry&fr_id=28384,"13,805","9,841",0:01:43,"7,752",38.49%,36.80%,$0.00 
/site/TR?fr_id=28791&pg=informational&sid=13242,"13,761","10,767",0:05:10,"2,479",39.52%,51.87%,$0.00 
/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=29059,"13,669","9,275",0:01:40,"6,559",31.93%,31.41%,$0.00 
/site/TR/Bike/LAMBikeEvents?pg=entry&fr_id=27905,"13,614","8,673",0:01:29,"5,789",21.32%,29.47%,$0.00 
/site/TR?fr_id=28216&pg=informational&sid=13248,"13,436","10,051",0:01:26,640,39.97%,14.86%,$0.00 
/site/TR/Bike/GAABikeEvents?pg=entry&fr_id=27759,"13,266","8,838",0:01:17,"7,156",27.37%,31.31%,$0.00 
/site/TR?pg=pfind&fr_id=28263&s_redirect=true,"13,252","12,551",0:06:50,"3,921",81.37%,82.92%,$0.00 
/site/TR?fr_id=28914&pg=informational&sid=13242,"13,135","10,908",0:04:52,"2,987",29.24%,54.33%,$0.00 
/site/TR?fr_id=28263&pg=informational&sid=13237,"12,866","10,333",0:02:55,"2,167",44.82%,34.85%,$0.00 
/site/TR/Bike/GAABikeEvents?pg=entry&fr_id=29047,"12,784","9,107",0:01:44,"7,257",39.21%,37.26%,$0.00 
/site/TR?fr_id=28263&pg=informational&sid=13233,"12,626","10,041",0:03:51,"2,326",30.24%,36.97%,$0.00 
/site/TR/Bike/PAXBikeEvents?pg=entry&fr_id=27690,"12,587","8,851",0:01:27,"7,106",16.88%,33.54%,$0.00 
/site/TR/Bike/ORCBikeEvents?pg=entry&fr_id=28196,"12,535","8,578",0:01:26,"6,510",25.85%,30.11%,$0.00 
/site/TR?fr_id=27003&pg=informational&sid=13397,"12,478","9,467",0:02:20,"4,462",41.71%,47.64%,$0.00 
/site/TR/Bike/PAEBikeEvents?pg=entry&fr_id=27060,"12,472","8,273",0:01:22,"4,190",23.36%,30.62%,$0.00 
/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=28263&login=true,"12,427","11,693",0:01:29,204,26.02%,21.16%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_WhyBikeMS,"12,091","10,423",0:02:07,"2,312",48.14%,40.48%,$0.00 
/site/PageServer?pagename=BIKE_MAM_homepage,"11,937","9,095",0:00:59,"8,432",27.21%,42.31%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=28124,"11,935","7,811",0:04:13,"3,120",35.35%,49.12%,$0.00 
/site/TR?fr_id=28894&pg=informational&sid=13242,"11,878","10,117",0:05:58,"2,886",38.71%,59.20%,$0.00 
/site/TR/Bike/OHABikeEvents?pg=entry&fr_id=27188,"11,631","8,038",0:01:18,"6,891",27.06%,37.17%,$0.00 
/site/TR?fr_id=28216&pg=informational&sid=13239,"11,627","8,178",0:00:58,"1,671",34.32%,19.89%,$0.00 
/site/TR?fr_id=28124&pg=informational&sid=13240,"11,589","9,217",0:02:12,"2,901",49.47%,41.57%,$0.00 
/site/TR?fr_id=28263&pg=informational&sid=14149,"11,484","9,411",0:03:05,"3,490",42.41%,44.47%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27923,"11,478","7,310",0:04:29,"4,718",33.05%,49.19%,$0.00 
/site/TR/Bike/ALCBikeEvents?pg=entry&fr_id=28940,"11,457","7,651",0:01:51,"5,842",40.61%,36.31%,$0.00 
/site/TR?fr_id=28263&pg=informational&sid=13247,"11,455","8,439",0:00:52,656,24.09%,13.98%,$0.00 
/site/TR?fr_id=27080&pg=informational&sid=13242,"11,453","6,314",0:02:36,"1,521",31.44%,39.13%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27711,"11,365","7,595",0:04:31,"4,610",36.97%,51.90%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc_2017&pc2_page=center&fr_id=28894,"11,342","7,197",0:04:14,"3,864",42.06%,49.51%,$0.00 
/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=28791&s_src=bike-fy17-txh-reg-display&s_subsrc=adwords-link-awareness,"11,339","10,418",0:02:39,"10,407",71.10%,84.07%,$0.00 
/site/TR?fr_id=28207&pg=entry,"11,221","8,999",0:02:05,"8,413",36.04%,46.70%,$0.00 
/site/TRR?pg=tfind&fr_id=28263&fr_tm_opt=existing&s_fr_tm_opt=existing&ptype=55713&s_ptype=55713&skip_login_page=true,"11,164","9,270",0:00:45,"6,049",3.84%,4.21%,$0.00 
/site/TR/Bike/TNSBikeEvents?pg=entry&fr_id=27865,"11,163","7,341",0:01:07,"5,957",30.76%,32.20%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27060,"11,026","6,976",0:03:42,"5,043",29.95%,48.76%,$0.00 
/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=28263&s_scr=bike-fy17-txh-reg-cpc&s_subsrc=adwords-link,"10,887","10,517",0:03:48,"10,491",35.79%,79.89%,$0.00 
/site/TR?fr_id=27876&pg=informational&sid=13242,"10,820","5,860",0:02:44,"1,178",35.25%,35.59%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27178,"10,795","7,156",0:04:17,"4,615",35.41%,50.99%,$0.00 
/site/TR/Bike/KSGBikeEvents?pg=entry&fr_id=28280,"10,700","7,473",0:01:34,"5,913",35.60%,35.64%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=28263,"10,687","7,231",0:04:07,"4,121",38.59%,49.81%,$0.00 
/site/TR/Bike/NYNBikeEvents?pg=entry&fr_id=29055&s_src=bike-fy17-cas-reg-display&s_subsrc=adwords-link-awareness,"10,650","9,663",0:02:28,"9,649",79.86%,82.38%,$0.00 
/site/TR/Bike/NCTBikeEvents?pg=entry&fr_id=29048,"10,640","7,232",0:01:30,"5,229",37.38%,32.77%,$0.00 
