# ----------------------------------------
# Bike MS - Luminate Pages
# Exit Pages
# 20160401-20171214
# ----------------------------------------

Page,Exits,Pageviews,% Exit
/site/Donation2?55835.donation=form1&idb=1203258699&df_id=55835&FR_ID=27059&mfc_pref=T&PROXY_ID=471179&PROXY_TYPE=22,52,124,41.94%
/site/Donation2?idb=1203630519&57774.donation=form1&df_id=57774&FR_ID=28197&mfc_pref=T&PROXY_ID=15505541&PROXY_TYPE=20&NONCE_TOKEN=1019B96687682603CEE1E4FE559C0845,52,131,39.69%
/site/Donation2?idb=1240367881&df_id=55830&FR_ID=27060&mfc_pref=T&PROXY_ID=1605496&PROXY_TYPE=20&55830.donation=form1,50,72,69.44%
/site/Donation2?57798.donation=form1&idb=766683696&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=13657834&PROXY_TYPE=20&NONCE_TOKEN=29D7441C92418FBCAB2A515AC0E59B79,49,62,79.03%
/site/Donation2?57798.donation=form1&idb=46702270&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=8630782&PROXY_TYPE=20&NONCE_TOKEN=ABDDDAABFF4771F3E64D0C40170CF6B4&s_subsrc=bfDskFbPfStream&s_src=boundlessfundraising,48,48,100.00%
/site/Donation2?idb=1354067682&df_id=58680&58680.donation=form1&FR_ID=29046&mfc_pref=T&PROXY_ID=8587852&PROXY_TYPE=20&amp;df_id=58680&idb=2051496083&amp;FR_ID=29046&amp;PROXY_ID=8587852&amp;58680.donation=root&amp;PROXY_TYPE=20&amp;mfc_pref=T,48,115,41.74%
/site/Donation2?57798.donation=form1&idb=1957540653&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=13648751&PROXY_TYPE=20&57798.donation=root&df_id=57798&FR_ID=28216&PROXY_ID=13648751&PROXY_TYPE=20&idb=1010930332&mfc_pref=T,47,81,58.02%
/site/Donation2?idb=1082818084&df_id=55952&FR_ID=27061&mfc_pref=T&PROXY_ID=13741968&PROXY_TYPE=20&55952.donation=form1&s_subsrc=bfDskFbPfMsg&s_src=boundlessfundraising,47,65,72.31%
/site/Donation2?idb=1253526231&df_id=55807&FR_ID=27037&mfc_pref=T&55807.donation=form1&PROXY_ID=8707783&PROXY_TYPE=20,47,118,39.83%
/site/Donation2?idb=1412290634&df_id=55825&FR_ID=27764&mfc_pref=T&PROXY_ID=15366016&PROXY_TYPE=20&55825.donation=form1&s_subsrc=:sub_source&s_src=boundlessfundraising,46,90,51.11%
/site/Donation2?57798.donation=form1&idb=545044242&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=16264179&PROXY_TYPE=20&NONCE_TOKEN=36E8153BB6E9081C9C76B0DF76B58B5C,43,58,74.14%
/site/Donation2?idb=1174058846&df_id=55952&FR_ID=27061&mfc_pref=T&PROXY_ID=14550872&PROXY_TYPE=20&55952.donation=form1,43,94,45.74%
/site/Donation2?57798.donation=form1&idb=110147515&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=13242610&PROXY_TYPE=20,42,76,55.26%
/site/Donation2?57798.donation=form1&idb=943465891&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=11497022&PROXY_TYPE=20&NONCE_TOKEN=F1FC8AA5FA3CCD0103856275D3E9004C,41,77,53.25%
/site/Donation2?57857.donation=form1&idb=1097757602&df_id=57857&FR_ID=28283&mfc_pref=T&PROXY_ID=14734016&PROXY_TYPE=20,41,54,75.93%
/site/Donation2?df_id=51834&PROXY_ID=14611200&PROXY_TYPE=20&FR_ID=25223&s_subsrc=bfIphSmsPfMsg&s_src=boundlessfundraising,40,42,95.24%
/site/Donation2?idb=1164918275&df_id=56608&56608.donation=form1&FR_ID=27681&mfc_pref=T&PROXY_ID=8553392&PROXY_TYPE=20,40,65,61.54%
/site/Donation2?idb=1513636482&df_id=55821&FR_ID=27053&mfc_pref=T&PROXY_ID=12657704&55821.donation=form1&PROXY_TYPE=20&s_subsrc=bfDskFbPfMsg&s_src=boundlessfundraising,40,43,93.02%
/site/Donation2?57677.donation=form1&idb=1047511916&df_id=57677&FR_ID=28124&mfc_pref=T&PROXY_ID=492156&PROXY_TYPE=22,38,69,55.07%
/site/Donation2?57798.donation=form1&idb=1300628941&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=16155452&PROXY_TYPE=20&NONCE_TOKEN=83EF02AC6BB5C8A1AEC1C31A2F7334CE&s_subsrc=bfDskFbPfSched&s_src=boundlessfundraising,38,55,69.09%
/site/Donation2?57798.donation=form1&idb=897453452&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=15629322&PROXY_TYPE=20,38,94,40.43%
/site/Donation2?57825.donation=form1&idb=540515473&df_id=57825&FR_ID=28222&mfc_pref=T&PROXY_ID=513907&PROXY_TYPE=22,38,72,52.78%
/site/Donation2?idb=1035835476&df_id=57754&FR_ID=28791&mfc_pref=T&PROXY_ID=13900342&57754.donation=form1&PROXY_TYPE=20&NONCE_TOKEN=1936F0CA7A2EFBE9FB789BAF85E5F20C&s_subsrc=bfIphFbPfMsg&s_src=boundlessfundraising,37,84,44.05%
/site/Donation2?idb=1200778751&57826.donation=form1&df_id=57826&FR_ID=28263&mfc_pref=T&PROXY_ID=5497508&PROXY_TYPE=20&s_fr_tm_opt=none&s_ptype=55713,37,79,46.84%
/site/Donation2?idb=1402167769&df_id=58223&58223.donation=form1&FR_ID=28892&mfc_pref=T&PROXY_ID=1922070&PROXY_TYPE=20&NONCE_TOKEN=55AD03A15853064AAF8B354822C38D6B&s_subsrc=bfDskFbPfStream&s_src=boundlessfundraising,37,37,100.00%
/site/Donation2?idb=1630612422&57801.donation=form1&df_id=57801&FR_ID=28217&mfc_pref=T&PROXY_ID=15730867&PROXY_TYPE=20&NONCE_TOKEN=019FB27212F8107EC6D6745FAD75C92A,37,45,82.22%
/site/Donation2?57061.donation=form1&idb=1980689129&df_id=57061&FR_ID=27871&mfc_pref=T&PROXY_ID=12967176&PROXY_TYPE=20&s_subsrc=bfIphFbPfMsg&s_src=boundlessfundraising,36,52,69.23%
/site/Donation2?57798.donation=form1&idb=663099339&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=14619330&PROXY_TYPE=20,36,58,62.07%
/site/Donation2?idb=1467728854&df_id=55823&FR_ID=27707&mfc_pref=T&PROXY_ID=15281737&55823.donation=form1&PROXY_TYPE=20&s_subsrc=bfDskFbPfMsg&s_src=boundlessfundraising,36,55,65.45%
/site/Donation2?55828.donation=form1&idb=2083960180&df_id=55828&FR_ID=27092&mfc_pref=T&PROXY_ID=465299&PROXY_TYPE=22,35,71,49.30%
/site/Donation2?57798.donation=form1&idb=456806192&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=15685271&PROXY_TYPE=20,35,59,59.32%
/site/Donation2?58752.donation=form1&idb=540914517&df_id=58752&FR_ID=29055&mfc_pref=T&PROXY_ID=15990297&PROXY_TYPE=20,35,56,62.50%
/site/Donation2?idb=1039392940&df_id=55952&FR_ID=27061&mfc_pref=T&PROXY_ID=12223736&PROXY_TYPE=20&55952.donation=form1&idb=145078551,35,35,100.00%
/site/Donation2?idb=1182168463&df_id=55821&FR_ID=27053&mfc_pref=T&PROXY_ID=14659313&55821.donation=form1&PROXY_TYPE=20,35,37,94.59%
/site/Donation2?57677.donation=form1&idb=664680315&df_id=57677&FR_ID=28124&mfc_pref=T&PROXY_ID=8474392&PROXY_TYPE=20,34,80,42.50%
/site/Donation2?57798.donation=form1&idb=199453337&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=12627682&PROXY_TYPE=20&s_subsrc=bfDskFbPfMsg&s_src=boundlessfundraising,34,43,79.07%
/site/Donation2?58752.donation=form1&idb=384009376&df_id=58752&FR_ID=29055&mfc_pref=T&PROXY_ID=12980159&PROXY_TYPE=20,34,89,38.20%
/site/Donation2?idb=1423504966&58513.donation=form1&df_id=58513&FR_ID=28914&mfc_pref=T&PROXY_ID=16064923&PROXY_TYPE=20,34,67,50.75%
/site/Donation2?idb=1554645827&df_id=55817&FR_ID=27048&mfc_pref=T&PROXY_ID=11618940&PROXY_TYPE=20&55817.donation=form1,34,57,59.65%
/site/Donation2?57677.donation=form1&idb=1362864001&df_id=57677&FR_ID=28104&mfc_pref=T&PROXY_ID=5853407&PROXY_TYPE=20,33,53,62.26%
/site/Donation2?57677.donation=form1&idb=1748260307&df_id=57677&FR_ID=28124&mfc_pref=T&PROXY_ID=12334437&PROXY_TYPE=20,33,55,60.00%
/site/Donation2?58752.donation=form1&idb=1461732206&df_id=58752&FR_ID=29055&mfc_pref=T&PROXY_ID=1783314&PROXY_TYPE=20&s_subsrc=bfDskFbPfMsg&s_src=boundlessfundraising,33,62,53.23%
/site/Donation2?idb=1311342645&df_id=57852&FR_ID=28273&mfc_pref=T&PROXY_ID=14347167&PROXY_TYPE=20&57852.donation=form1&s_subsrc=bfIphFbPfMsg&s_src=boundlessfundraising,33,45,73.33%
/site/Donation2?idb=1666850752&df_id=55822&FR_ID=27695&mfc_pref=T&PROXY_ID=9959676&PROXY_TYPE=20&55822.donation=form1,33,45,73.33%
/site/Donation2?idb=1141568333&df_id=55820&FR_ID=28105&mfc_pref=T&PROXY_ID=15803350&55820.donation=form1&PROXY_TYPE=20,32,73,43.84%
/site/Donation2?idb=1157060390&df_id=55837&55837.donation=form1&FR_ID=27039&mfc_pref=T&PROXY_ID=15321141&PROXY_TYPE=20&s_tafId=451709,32,65,49.23%
/site/Donation2?idb=1454707485&58513.donation=form1&df_id=58513&FR_ID=28914&mfc_pref=T&PROXY_ID=15304896&PROXY_TYPE=20,32,67,47.76%
/site/Donation2?55835.donation=form1&idb=1741301605&df_id=55835&FR_ID=27059&mfc_pref=T&PROXY_ID=1699008&PROXY_TYPE=20,31,60,51.67%
/site/Donation2?57798.donation=form1&idb=2107296570&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=15415965&PROXY_TYPE=20&s_subsrc=bfDskFbPfStream&s_src=boundlessfundraising,31,97,31.96%
/site/Donation2?57798.donation=form1&idb=442629242&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=15538828&PROXY_TYPE=20,31,56,55.36%
/site/Donation2?df_id=55075&PROXY_ID=14703434&PROXY_TYPE=20&FR_ID=26536&s_subsrc=bfIphSmsPfMsg&s_src=boundlessfundraising,31,33,93.94%
/site/Donation2?idb=1273384963&df_id=55952&FR_ID=27061&mfc_pref=T&PROXY_ID=12554187&PROXY_TYPE=20&55952.donation=form1&s_subsrc=bfDskFbPfSched&s_src=boundlessfundraising,31,45,68.89%
/site/Donation2?idb=1311853596&df_id=55820&FR_ID=28105&mfc_pref=T&PROXY_ID=6296944&55820.donation=form1&PROXY_TYPE=20&NONCE_TOKEN=D6C9ABB3C2AEB7A798354BBDDC4B2ACE,31,88,35.23%
/site/Donation2?idb=132505743&df_id=55817&FR_ID=27048&mfc_pref=T&PROXY_ID=14886694&PROXY_TYPE=20&55817.donation=form1,31,38,81.58%
/site/Donation2?idb=1340616354&57826.donation=form1&df_id=57826&FR_ID=28263&mfc_pref=T&PROXY_ID=13799919&PROXY_TYPE=20&NONCE_TOKEN=37B0F3F0A3748005FA7744FC341078B5,31,51,60.78%
/site/Donation2?idb=1543539799&58513.donation=form1&df_id=58513&FR_ID=28914&mfc_pref=T&PROXY_ID=15809086&PROXY_TYPE=20&NONCE_TOKEN=22A9B05E6512663E84A2C5D0F685B068,31,48,64.58%
/site/Donation2?idb=1621386473&df_id=57382&FR_ID=27876&mfc_pref=T&PROXY_ID=15361854&PROXY_TYPE=20&57382.donation=form1,31,53,58.49%
/site/Donation2?55828.donation=form1&idb=941079340&df_id=55828&FR_ID=27092&PROXY_ID=8631823&PROXY_TYPE=20,30,60,50.00%
/site/Donation2?df_id=55817&FR_ID=27048&PROXY_ID=450889&PROXY_TYPE=22&55817.donation=form1,30,49,61.22%
/site/Donation2?idb=1000463032&df_id=55817&FR_ID=27048&mfc_pref=T&PROXY_ID=10498025&PROXY_TYPE=20&55817.donation=form1,30,50,60.00%
/site/Donation2?idb=1257309288&df_id=57849&FR_ID=28272&mfc_pref=T&PROXY_ID=9985692&PROXY_TYPE=20&57849.donation=form1,30,58,51.72%
/site/Donation2?idb=1385748704&df_id=57849&FR_ID=28272&mfc_pref=T&PROXY_ID=12558472&PROXY_TYPE=20&57849.donation=form1&NONCE_TOKEN=06FA3A24DFB50DD968671FE504C3B57F,30,46,65.22%
/site/Donation2?56020.donation=form1&idb=909527062&df_id=56020&FR_ID=27149&mfc_pref=T&PROXY_ID=9245088&PROXY_TYPE=20&56020.donation=completed,29,34,85.29%
/site/Donation2?57798.donation=form1&idb=762571777&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=13436528&PROXY_TYPE=20&NONCE_TOKEN=3E988BEA41CF517805CFE2D843C8F2ED&s_subsrc=bfDskFbPfMsg&s_src=boundlessfundraising,29,41,70.73%
/site/Donation2?idb=1103469150&57826.donation=form1&df_id=57826&FR_ID=28263&mfc_pref=T&PROXY_ID=14975000&PROXY_TYPE=20&NONCE_TOKEN=1BC905CDF14EC635D85078058928A7E4&s_subsrc=:sub_source&s_src=boundlessfundraising,29,64,45.31%
/site/Donation2?idb=1221616989&df_id=55825&FR_ID=27764&mfc_pref=T&PROXY_ID=15383877&PROXY_TYPE=20&55825.donation=form1&s_subsrc=bfDskFbPfMsg&s_src=boundlessfundraising,29,46,63.04%
/site/Donation2?idb=1448813274&df_id=55952&FR_ID=27061&mfc_pref=T&PROXY_ID=14088645&PROXY_TYPE=20&55952.donation=form1,29,51,56.86%
/site/Donation2?idb=1481161461&df_id=55807&FR_ID=27037&mfc_pref=T&55807.donation=form1&PROXY_ID=13307379&PROXY_TYPE=20&s_subsrc=bfDskFbPfSched&s_src=boundlessfundraising,29,34,85.29%
/site/Donation2?idb=1531641243&df_id=57776&57776.donation=form1&FR_ID=28198&mfc_pref=T&PROXY_ID=1888581&PROXY_TYPE=20,29,39,74.36%
/site/Donation2?idb=1630976986&df_id=55896&FR_ID=27080&mfc_pref=T&PROXY_ID=11187299&PROXY_TYPE=20&55896.donation=form1&s_src=BF_emailbadge,29,58,50.00%
/site/Donation2?55828.donation=form1&idb=184472959&df_id=55828&FR_ID=27092&mfc_pref=T&PROXY_ID=1991862&PROXY_TYPE=20,28,59,47.46%
/site/Donation2?55835.donation=form1&idb=22618441&df_id=55835&FR_ID=27059&mfc_pref=T&PROXY_ID=8408104&PROXY_TYPE=20&s_subsrc=bfAphFbPfMsg&s_src=boundlessfundraising,28,31,90.32%
/site/Donation2?57677.donation=form1&idb=1481427024&df_id=57677&FR_ID=28124&mfc_pref=T&PROXY_ID=7663664&PROXY_TYPE=20&NONCE_TOKEN=03C8F988FBAA255D36F536D968439587&57677.donation=completed,28,28,100.00%
/site/Donation2?57798.donation=form1&idb=1236913894&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=14767139&PROXY_TYPE=20,28,71,39.44%
/site/Donation2?57798.donation=form1&idb=1377024851&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=16205890&PROXY_TYPE=20,28,46,60.87%
/site/Donation2?57798.donation=form1&idb=942081137&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=11137228&PROXY_TYPE=20&NONCE_TOKEN=33B1E1D399A18C51A75FE6C88DAB4D9F,28,31,90.32%
/site/Donation2?57798.donation=form1&idb=968457467&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=1798914&PROXY_TYPE=20,28,43,65.12%
/site/Donation2?58752.donation=form1&idb=62141358&df_id=58752&FR_ID=29055&mfc_pref=T&PROXY_ID=16196490&PROXY_TYPE=20&NONCE_TOKEN=4E36B2C22C7461AF60642657D10340CA,28,45,62.22%
/site/Donation2?df_id=55754&PROXY_ID=8876347&PROXY_TYPE=20&FR_ID=27190&s_subsrc=bfIphSmsPfMsg&s_src=boundlessfundraising,28,30,93.33%
/site/Donation2?idb=1159130253&df_id=55820&FR_ID=27006&mfc_pref=T&PROXY_ID=15210069&55820.donation=form1&PROXY_TYPE=20&s_subsrc=bfDskFbPfSched&s_src=boundlessfundraising,28,50,56.00%
/site/Donation2?idb=1311111217&df_id=55821&FR_ID=27053&mfc_pref=T&PROXY_ID=15455033&55821.donation=form1&PROXY_TYPE=20,28,53,52.83%
/site/Donation2?idb=1452491074&df_id=57165&FR_ID=27919&mfc_pref=T&PROXY_ID=469916&57165.donation=form1&PROXY_TYPE=22,28,72,38.89%
/site/Donation2?56020.donation=form1&idb=483104941&df_id=56020&FR_ID=27149&mfc_pref=T&PROXY_ID=15211295&PROXY_TYPE=20,27,42,64.29%
/site/Donation2?57677.donation=form1&idb=295008173&df_id=57677&FR_ID=28104&mfc_pref=T&PROXY_ID=5853407&PROXY_TYPE=20&s_subsrc=bfDskFbPfStream&s_src=boundlessfundraising,27,45,60.00%
/site/Donation2?57677.donation=form1&idb=8841227&df_id=57677&FR_ID=28124&mfc_pref=T&PROXY_ID=7649836&PROXY_TYPE=20,27,66,40.91%
/site/Donation2?57798.donation=form1&idb=1349426891&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=16091808&PROXY_TYPE=20&NONCE_TOKEN=9A8F8DC20F29DF4FB32874D327D9F378,27,33,81.82%
/site/Donation2?57798.donation=form1&idb=794033742&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=14524604&PROXY_TYPE=20&NONCE_TOKEN=6D7A71053E5D666B6660CF20D7EB5742&s_subsrc=bfIphEmPfMsg&s_src=boundlessfundraising,27,37,72.97%
/site/Donation2?idb=1268188392&df_id=55830&FR_ID=27060&mfc_pref=T&PROXY_ID=13742105&PROXY_TYPE=20&55830.donation=form1,27,37,72.97%
/site/Donation2?idb=1447959274&df_id=55820&FR_ID=28105&mfc_pref=T&PROXY_ID=12977688&55820.donation=form1&PROXY_TYPE=20,27,74,36.49%
/site/Donation2?idb=1549633132&df_id=55825&FR_ID=27764&mfc_pref=T&PROXY_ID=15429576&PROXY_TYPE=20&55825.donation=form1&s_subsrc=bfDskFbPfSched&s_src=boundlessfundraising,27,30,90.00%
/site/Donation2?idb=1578224627&df_id=55821&FR_ID=27053&mfc_pref=T&PROXY_ID=4860458&55821.donation=form1&PROXY_TYPE=20&s_tafId=509208,27,30,90.00%
/site/Donation2?idb=1593368107&df_id=55952&FR_ID=27061&mfc_pref=T&PROXY_ID=464780&PROXY_TYPE=22&55952.donation=form1,27,37,72.97%
/site/Donation2?57798.donation=form1&idb=1462179610&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=10069682&PROXY_TYPE=20,26,39,66.67%
/site/Donation2?57798.donation=form1&idb=1574773201&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=2777636&PROXY_TYPE=20,26,44,59.09%
/site/Donation2?58752.donation=form1&idb=67513849&df_id=58752&FR_ID=29055&mfc_pref=T&PROXY_ID=16119265&PROXY_TYPE=20,26,42,61.90%
/site/Donation2?idb=1035782129&df_id=57754&FR_ID=28791&mfc_pref=T&PROXY_ID=14292124&57754.donation=form1&PROXY_TYPE=20&amp;df_id=57754&idb=1578048402&amp;FR_ID=28791&amp;57754.donation=root&amp;PROXY_ID=14292124&amp;PROXY_TYPE=20&amp;mfc_pref=T,26,55,47.27%
/site/Donation2?idb=1280811127&df_id=55846&FR_ID=27003&mfc_pref=T&PROXY_ID=7724250&55846.donation=form1&PROXY_TYPE=20&idb=1938180330,26,27,96.30%
/site/Donation2?idb=1349919049&58221.donation=form1&df_id=58221&FR_ID=28384&mfc_pref=T&PROXY_ID=3927590&PROXY_TYPE=20&s_subsrc=bfDskFbPfMsg&s_src=boundlessfundraising,26,33,78.79%
/site/Donation2?idb=1362930226&df_id=55807&FR_ID=27037&mfc_pref=T&55807.donation=form1&PROXY_ID=3475745&PROXY_TYPE=20,26,80,32.50%
/site/Donation2?idb=1373570660&57826.donation=form1&df_id=57826&FR_ID=28263&mfc_pref=T&PROXY_ID=12719097&PROXY_TYPE=20,26,37,70.27%
/site/Donation2?idb=1512480060&df_id=58680&58680.donation=form1&FR_ID=29046&mfc_pref=T&PROXY_ID=16177484&PROXY_TYPE=20,26,53,49.06%
/site/Donation2?idb=1634358209&df_id=55846&FR_ID=27003&mfc_pref=T&PROXY_ID=13617714&55846.donation=form1&PROXY_TYPE=20,26,48,54.17%
/site/Donation2?57798.donation=form1&idb=1527862374&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=16237844&PROXY_TYPE=20&57798.donation=root&df_id=57798&FR_ID=28216&PROXY_ID=16237844&PROXY_TYPE=20&idb=1130484754&mfc_pref=T,25,46,54.35%
/site/Donation2?57798.donation=form1&idb=1667486060&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=1835072&PROXY_TYPE=20&NONCE_TOKEN=84234A790205E727E409547FC8BC61D3,25,60,41.67%
/site/Donation2?57798.donation=form1&idb=765673425&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=12354797&PROXY_TYPE=20,25,47,53.19%
/site/Donation2?57825.donation=form1&idb=1533714588&df_id=57825&FR_ID=28222&mfc_pref=T&PROXY_ID=2048044&PROXY_TYPE=20,25,55,45.45%
/site/Donation2?57825.donation=form1&idb=1719398715&df_id=57825&FR_ID=28222&mfc_pref=T&PROXY_ID=13822676&PROXY_TYPE=20,25,39,64.10%
/site/Donation2?57825.donation=form1&idb=2015150755&df_id=57825&FR_ID=28222&mfc_pref=T&PROXY_ID=8020550&PROXY_TYPE=20&NONCE_TOKEN=1A932580BB31170E0BDAB1C3558887DE,25,25,100.00%
/site/Donation2?57826.donation=form1&FR_ID=28263&mfc_pref=T&PROXY_TYPE=20&s_src=boundlessfundraising&idb=1145292934&NONCE_TOKEN=AC5516BF482026753B42210278B6737D&df_id=57826&s_subsrc=bfDskFbPfStream&PROXY_ID=15686543,25,31,80.65%
/site/Donation2?idb=1051626806&df_id=57382&FR_ID=27876&mfc_pref=T&PROXY_ID=12645097&PROXY_TYPE=20&57382.donation=form1&amp;57382.donation=root&amp;df_id=57382&idb=63839332&amp;FR_ID=27876&amp;PROXY_ID=12645097&amp;PROXY_TYPE=20&amp;mfc_pref=T,25,67,37.31%
/site/Donation2?idb=1071085547&57799.donation=form1&df_id=57799&FR_ID=28215&mfc_pref=T&PROXY_ID=1747351&PROXY_TYPE=20&NONCE_TOKEN=071E18B264DF715A09C3A4E8A977AAA5&s_subsrc=bfDskFbPfSched&s_src=boundlessfundraising,25,36,69.44%
/site/Donation2?idb=1076025994&df_id=58702&FR_ID=29052&mfc_pref=T&PROXY_ID=14410918&58702.donation=form1&PROXY_TYPE=20&NONCE_TOKEN=3CBBDEBA50FD64BCB6E7B4148FBD0343&s_subsrc=bfIphSmsPfMsg&s_src=boundlessfundraising,25,36,69.44%
/site/Donation2?idb=1244481281&df_id=55820&FR_ID=28105&mfc_pref=T&PROXY_ID=15709609&55820.donation=form1&PROXY_TYPE=20&NONCE_TOKEN=D6CC45B54D1FD57E6ADB935923623F87,25,39,64.10%
/site/Donation2?57798.donation=form1&idb=1712245397&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=6582805&PROXY_TYPE=20,24,39,61.54%
/site/Donation2?57798.donation=form1&idb=1946209587&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=15445873&PROXY_TYPE=20,24,36,66.67%
/site/Donation2?57798.donation=form1&idb=656330179&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=16203051&PROXY_TYPE=20,24,45,53.33%
/site/Donation2?57857.donation=form1&idb=1671136906&df_id=57857&FR_ID=28283&mfc_pref=T&PROXY_ID=8288022&PROXY_TYPE=20,24,46,52.17%
/site/Donation2?58752.donation=form1&idb=484070713&df_id=58752&FR_ID=29055&mfc_pref=T&PROXY_ID=11385386&PROXY_TYPE=20&NONCE_TOKEN=15F22D5B368957530EE040724078D135,24,58,41.38%
/site/Donation2?df_id=57826&PROXY_ID=15662673&PROXY_TYPE=20&FR_ID=28263&s_subsrc=bfIphFbPfSched&s_src=boundlessfundraising,24,40,60.00%
/site/Donation2?idb=101634355&df_id=56012&FR_ID=27170&mfc_pref=T&PROXY_ID=15293010&PROXY_TYPE=20&56012.donation=form1,24,34,70.59%
/site/Donation2?idb=10270266&df_id=58702&FR_ID=29052&mfc_pref=T&PROXY_ID=16182048&58702.donation=form1&PROXY_TYPE=20&NONCE_TOKEN=C9B4D1F5528F8507EC648BE72D386C37&s_subsrc=bfDskFbPfMsg&s_src=boundlessfundraising,24,38,63.16%
