# ----------------------------------------
# Bike MS - Luminate Pages
# Goal Funnel
# 20160401-20171214
# ----------------------------------------

Day Index,Bike Registration - Join a Team (Goal 3 Conversion Rate)
11/26/17,1.76%
11/27/17,2.27%
11/28/17,1.95%
11/29/17,1.59%
11/30/17,1.63%
12/1/17,2.25%
12/2/17,1.15%
12/3/17,1.45%
12/4/17,2.46%
12/5/17,1.31%
12/6/17,1.74%
12/7/17,2.82%
12/8/17,2.31%
12/9/17,1.81%
12/10/17,2.37%
12/11/17,2.27%
12/12/17,1.89%
12/13/17,2.20%
12/14/17,1.93%
,0.86%
# ----------------------------------------
# Goal Funnel
# ----------------------------------------
Bike Registration - Join a Team
"This Goal was completed in 16,238 sessions"
,"445,565",,Registration,"445,565","39,176",,,"406,389"
(entrance),"136,392",,,,,,(exit),"159,724"
/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=28263,"14,750",,,,,,/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=28263,"4,014"
/site/TR/Bike/NYNBikeEvents?pg=entry&fr_id=27764,"5,392",,,,,,/site/TR?fr_id=28263&pg=informational&sid=13239&skip_login_page=true&fr_tm_opt=existing&s_fr_tm_opt=existing&ptype=55713&s_ptype=55713,"3,973"
/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=27003,"5,031",,,,,,/site/TR?fr_id=28263&pg=informational&sid=13239,"2,548"
/site/TR/Bike/PAEBikeEvents?pg=entry&fr_id=28216,"4,727",,,,,,/site/TR?fr_id=28263&pg=informational&sid=13239&s_src=bike-fy17-txh-reg-social&s_subsrc=twitter-link-cyc-bpbuy,"2,505"
,0,,Search for Team,"39,176","34,645",,,"4,531"
,,,,,,,(exit),"1,326"
,,,,,,,/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=28263,55
,,,,,,,/site/TR?fr_id=28263&pg=informational&sid=13239&s_fr_tm_opt=existing&s_ptype=55713,42
,,,,,,,/site/TR?fr_id=28216&pg=informational&sid=13248&s_fr_tm_opt=existing&s_ptype=55490,27
,,,,,,,/site/TR/Bike/PAEBikeEvents?pg=entry&fr_id=28216,23
,0,,Search Results,"34,645","16,238",,,"18,407"
,,,,,,,(exit),"1,867"
,,,,,,,/site/TR?fr_id=27061&pg=informational&sid=13239,53
,,,,,,,/site/SPageNavigator/BIKE_HOM_splash.html,34
,,,,,,,/site/TR?fr_id=28263&pg=informational&sid=13239,32
,,,,,,,/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=28263,29
,0,,Select Options,"16,238","16,238",,,0
,0,,Provide Details,"16,238","16,238",,,0
,0,,Agree to Terms,"16,238","16,238",,,0
,0,,Review,"16,238","16,238",,,0
,0,,Payment,"16,238","16,238",,,0
,0,,Bike Registration - Join a Team,"16,238"
# ----------------------------------------

