Fiscal Year,Event ID,Security Category Name,Public Event Name,Event Created Date,Event Date,Event Goal($),Active Registrations,Inactive Registrations,Total Fees Paid,Total of All Confirmed Gifts($),Total Online Gifts($),Teams,Captains,Average Team Size,Team pages with custom URL,Emails Sent,Personal pages with custom URL,Total Offline Confirmed Gifts($),Self Donors,Total From Participant($),Non-self Donors,Total Not From Participant($),Total Team Gifts($),Total Event Gifts($),Total Offline Unconfirmed Gifts($),Street Address,City,State,Zip Code,Internal Event Name,Previous Event ID
2013,22307,CAL Bike Events,"CAL, Ventura - Bike MS: Coastal Challenge Volunteer 2013",6/17/2013 17:17,10/12/2013 15:16,4000,1,6,0,0,0,1,1,1,0,0,1,0,0,0,7,0,0,0,0,,Ventura,CA,93001,"CAL, Ventura - Bike MS: Coastal Challenge Volunteer 2013",0
2016,25958,CAL Bike Events,Bike MS Coastal Challenge: Santa Monica to Santa Barbara 2015,12/20/2014 21:07,10/10/2015 11:01,1350000,1218,209,32699.48,1046937.14,769631.03,123,131,7,0,31084,0,277306.11,588,217941.45,839,908401.69,30134.67,78667.56,75596,1855 Main Street,Santa Monica,CA,90401,CAL 2015 Bike MS Coastal Challenge: Santa Monica to Santa Barbara,23843
2017,28217,CAL Bike Events,Bike MS: Coastal Challenge 2017,8/11/2016 13:56,3/25/2017 15:06,1300000,884,11,16166,584757.07,473578.95,83,88,8,0,22290,0,111178.12,392,166475.5,503,502095.56,10497,80901,82528.99,1001 Rose Bowl Dr.,Pasadena,CA,91103,CAL 2017 Bike MS: Pasadena,25958
2016,27914,CAL Bike Events,"Bike MS: Vegas 2016, presented locally by Interbike",1/22/2016 12:11,9/24/2016 15:01,150000,279,5,4849.5,89641.18,58987.74,22,22,6,5,2739,29,30653.44,125,57897.64,159,72068.54,185,43225,40100,888 W. Bonneville Ave,Las Vegas,NV,89106,CAL 2016 Bike MS: Vegas,26716
2013,21166,CAL Bike Events,"CAL, Ventura - Bike MS: Coastal Challenge 2013",12/4/2012 16:01,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,CA,,"CAL, Ventura - Bike MS: Coastal Challenge 2010",0
2015,25199,CAN Bike Events,Bike MS: Waves to Wine Ride 2015,9/18/2014 19:08,9/26/2015 19:55,2764773,2301,269,84091.99,2104651.37,1655837.78,192,213,9,35,78417,314,448813.59,1260,297775.97,1310,1911658.4,129750.15,33216,99073,1700 Owens St. Suite 190,San Francisco,CA,94158,CAN 2015 Bike MS: Waves to Wine Ride,22900
2016,27080,CAN Bike Events,Bike MS: Waves to Wine Ride 2016,9/24/2015 16:27,9/24/2016 14:35,2400000,1936,150,66726.68,1856329.04,1443329.26,181,192,8,0,70474,0,412999.78,1161,265647.1,925,1788366.19,126791,119311.73,186796.25,1700 Owens St. Suite 190,San Francisco,CA,94158,CAN 2016 Bike MS: Waves to Wine Ride,25199
2013,20747,CAN Bike Events,"California, Bike MS: Waves to Wine Ride 2013",10/25/2012 18:46,9/21/2013 10:53,2350000,2475,181,89499.5,2285808.47,1651066.64,191,209,9,29,79302,298,634741.83,1324,273332.22,1332,2059700.26,154271.89,93978.17,14059.01,,San Francisco,CA,,"California, Bike MS: Waves to Wine Ride 2013",17854
2017,28894,CAN Bike Events,Bike MS: Waves to Wine Ride 2017,10/14/2016 17:16,9/23/2017 11:14,2522872,1498,128,69409.5,1578385.09,1250756.25,158,176,8,0,50632,0,327628.84,1025,295547.97,601,1466861.12,81141.55,73477.19,154848,1400 Valley House Dr.,Sonoma Wine Country,CA,94928,CAN 2017 Bike MS: Waves to Wine Ride,27080
2014,22900,CAN Bike Events,Bike MS: Waves to Wine Ride 2014,9/18/2013 19:01,9/20/2014 14:34,2620000,2427,200,90415.9,2380212.06,1870807.31,198,216,10,59,88134,323,509404.75,1454,305580.84,1173,2387138.82,159186.18,251320.3,307861.6,,San Francisco,CA,,CAN 2014 Bike MS: Waves to Wine Ride,20747
2014,21749,CAN Bike Events,CAN Bike MS 2014,4/1/2013 8:07,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,CAN Bike MS 2014 OLD,0
2013,19434,CAS Bike Events,CAS Bike MS 2012 - Volunteers,6/25/2012 14:39,10/20/2012 15:20,0,534,0,0,2090,1040,3,3,2,0,6,1,1050,10,580,524,2010,0,0,500,,,,,CAS Bike MS 2012 - Volunteers,0
2014,21507,CAS Bike Events,"California, San Diego - Bike MS: Bay to Bay Tour 2013",2/12/2013 13:30,10/19/2013 14:01,2200000,1889,8,67653.9,2045914.48,1510651.41,176,201,9,1,77496,0,535263.07,1024,228727.54,873,1979510.94,24831.28,4127,53026,,San Diego,CA,92008,CAS Bike MS 2013 - San Diego,18684
2014,21750,CAS Bike Events,CAS Bike MS 2014,4/1/2013 8:07,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,CAS Bike MS 2014 OLD,0
2017,27937,CAS Bike Events,CAS 2016 Hawaii Bike MS,2/17/2016 16:40,10/22/2016 12:05,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Irvine to San Diego,CA,92618,CAS 2016 Hawaii Bike MS,0
2016,26037,CAS Bike Events,"Bike MS Bay to Bay Tour 2015: Irvine, CA to San Diego, CA",1/16/2015 12:28,10/17/2015 22:08,2500000,2432,3,46094,2214987.23,1589700.94,162,189,10,0,94378,0,625286.29,973,319722.74,1462,2053122.72,29804.29,48087.21,72870.84,,San Diego,CA,92618,CAS Bike MS 2015,23956
2015,23956,CAS Bike Events,"California, San Diego - Bike MS: Bay to Bay Tour 2014",1/28/2014 17:42,10/18/2014 14:49,2200000,2757,2,51942,2188029.63,1594707.79,172,204,10,51,82128,268,593321.84,1000,313187.01,1759,2024373.89,17644.58,31335.1,73107.72,,San Diego,CA,92008,CAS Bike MS 2014,21507
2017,27876,CAS Bike Events,Bike MS: Bay to Bay 2016,1/5/2016 17:31,10/22/2016 13:32,2500000,2570,1,48150,2317728.23,1687801.68,180,213,9,0,121956,0,629926.55,1159,425575.49,1412,2093298.29,13515.11,132442.99,193415.55,,Irvine to San Diego,CA,92618,CAS 2016 Bike MS: Bay to Bay,26037
2013,18684,CAS Bike Events,Bike MS Bay to Bay Tour 2012,12/19/2011 16:16,10/20/2012 15:18,2200000,2132,5,76276,1990902.73,1431549.06,180,223,10,0,73898,0,559353.67,1134,237585.02,1003,1898461.49,0,1754,78224.53,,,,,CAS Bike MS 2012,17111
2017,27936,CAS Bike Events,Bike MS: Go BIG! Or Go Home!,2/17/2016 16:22,10/29/2016 16:49,85000,77,2,875,30272.08,27067,9,8,7,0,632,0,3205.08,35,7570,44,24337.08,250,1500,1635,"69-425 Waikoloa Beach Dr, Waikoloa Village,",Waikoloa,HI,96738,CAS 2016 Bike MS Hawaii,26038
2014,22117,CAS Bike Events,CAS Bike MS 2013 - Volunteers,5/7/2013 12:53,10/19/2013 19:50,0,407,0,0,720,445,3,3,5,0,0,0,275,6,395,401,325,0,0,0,,,,,CAS Bike MS 2013 - Volunteers,19434
2015,27182,COC Bike Events,2016 General Bike Donations TEMP,10/8/2015 11:25,6/27/2015 12:14,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,1100,0,3645 W 112th Ave,Westminster,CO,80031,2016 General Bike Donations TEMP,0
2014,23814,COC Bike Events,"Colorado - Bike MS 2014 Volunteer, Colorado Two Day",12/12/2013 16:51,6/28/2014 10:49,25000,393,7,0,1721,1721,2,2,1,0,17,0,0,16,761,384,960,0,0,0,,,,,"Colorado - Bike MS 2014 Volunteer, Colorado Two Day",21496
2016,27756,COC Bike Events,Bike MS: Wyoming's Bighorn Country Classic 2016,11/24/2015 22:56,8/13/2016 11:19,250000,359,2,9920.75,220307.73,105369.29,32,33,6,0,4105,0,114938.44,137,32549.51,224,188533.22,75,240,495,,Sheridan,WY,82801,COC 2016 Bike MS: Wyoming,25573
2014,22766,COC Bike Events,AJ Test Bike MS 2014,9/4/2013 12:25,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,AJ Test Bike MS 2014,0
2016,27036,COC Bike Events,COC 2016 Bike MS: Colorado ,9/3/2015 11:05,6/25/2016 13:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,COC 2016 Bike MS: Colorado DO NOT USE,0
2014,24003,COC Bike Events,Wyoming - Bike MS 2014 Volunteer,2/12/2014 16:13,8/16/2014 16:14,1000,61,2,0,634,634,0,0,0,0,110,0,0,1,11,62,623,0,0,0,,,,,Wyoming - Bike MS 2014 Volunteer,21498
2017,28956,COC Bike Events,Bike MS: Bighorn Country Classic 2017,12/8/2016 15:32,8/12/2017 12:23,245000,339,1,8513,225813.02,113206.13,32,32,5,0,3796,0,112606.89,141,36332.06,199,200408.02,405,5631,1845,3059 Coffeen Avenue,Sheridan,WY,82801,COC 2017 Bike MS: Wyoming,27756
2013,21498,COC Bike Events,Wyoming - Bike MS 2013 Volunteer,2/11/2013 11:51,8/17/2013 9:00,1000,97,2,0,70,70,1,1,1,0,0,0,0,2,70,97,0,0,0,0,,,None,,Wyoming - Bike MS 2013 Volunteer,0
2015,24949,COC Bike Events,Bike MS: Colorado 2015,8/20/2014 14:54,1/1/2015 16:29,10000,3,0,0,0,0,1,1,3,0,0,0,0,0,0,3,0,0,0,0,,,,,AJ Test Bike MS 2015,0
2015,25572,COC Bike Events,Bike MS: Colorado 2015,10/27/2014 21:03,6/27/2015 13:42,4000000,2997,22,157578.49,3363059.1,2322902.95,226,246,11,22,107333,252,1040156.15,1639,489445.04,1380,2930023.47,29312.58,36156.66,46804.41,3645 W 112th Ave,Westminster,CO,80031,COC 2015 Bike MS: Colorado,22980
2017,28914,COC Bike Events,Bike MS: Colorado 2017 powered locally by Anthem,11/10/2016 12:31,6/24/2017 13:40,3600000,2656,36,120550.7,3126199.44,2331294.56,212,228,10,0,121949,0,794904.88,1741,447658.54,951,2734035.75,35913,35444.29,46482.6,3645 W. 112th Ave. ,Westminster,CO,80031,COC 2017 Bike MS Colorado,27037
2014,21751,COC Bike Events,COC Bike MS 2014,4/1/2013 8:07,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,COC Bike MS 2014 OLD,0
2014,23815,COC Bike Events,"Colorado - Bike MS 2014 Volunteer, Fort Collins Loop",12/12/2013 16:52,6/28/2014 14:10,1000,81,15,0,395,395,0,0,0,0,0,0,0,2,155,94,240,0,0,0,,,,,"Colorado - Bike MS 2014 Volunteer, Fort Collins Loop",21497
2014,22980,COC Bike Events,Newmont Bike MS 2014 presented by Point B,9/24/2013 22:56,6/28/2014 15:03,3925000,3299,44,155134.93,3657569.52,2472568.98,228,247,12,28,105440,266,1185000.54,1810,509837.25,1533,3219345.67,16832.08,11611.89,38027.5,3645 W 112th Ave,Westminster,CO,80031,Colorado - Bike MS 2014,20901
2014,25193,COC Bike Events,COC - Bike MS 2015 For Pre Reg Donations,9/18/2014 11:08,6/28/2014 14:39,3895000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3645 W 112th Ave,Westminster,CO,80031,COC - Bike MS 2015 For Pre Reg Donations,0
2013,20901,COC Bike Events,Newmont Bike MS 2013 presented by Point B,11/5/2012 17:04,6/29/2013 12:00,3650000,3050,41,155346.5,3343816.71,2273506.88,206,223,12,19,117582,210,1070309.83,1688,437387.06,1403,2958428.02,6789,7915,43266.37,3645 W 112th Ave,Westminster,CO,80031,Colorado - Bike MS 2013,17994
2015,25936,COC Bike Events,Bike MS: Colorado 2015 Volunteer,12/16/2014 10:07,6/27/2015 14:40,25000,363,9,0,1610,1610,0,0,0,0,22,0,0,12,710,360,901,0,0,1,,,,,COC 2015 Bike MS: Colorado Volunteer,23814
2015,25937,COC Bike Events,Bike MS: Wyoming 2015 Volunteer,12/16/2014 10:26,8/15/2015 14:42,25000,33,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,,,,,COC 2015 Bike MS: Wyoming Volunteer,24003
2013,21496,COC Bike Events,"Colorado - Bike MS 2013 Volunteer, Colorado Two Day",2/11/2013 11:50,6/29/2013 14:06,4000,397,2,0,1269,1219,0,0,0,0,767,0,50,17,946,382,323,0,0,0,,,None,,"Colorado - Bike MS 2013 Volunteer, Colorado Two Day",18824
2013,21497,COC Bike Events,"Colorado - Bike MS 2013 Volunteer, Fort Collins Loop",2/11/2013 11:51,6/29/2013 14:10,1000,53,6,0,765,715,0,0,0,0,25,2,50,2,135,57,830,0,200,200,,,None,,"Colorado - Bike MS 2013 Volunteer, Fort Collins Loop",18838
2014,22981,COC Bike Events,Bike MS Wyoming 2014 presented by Toyota,9/24/2013 22:56,8/16/2014 15:27,300000,207,3,7324.5,247551.16,74459.17,19,21,7,0,2625,8,173091.99,91,19065.99,119,232225.17,1075,255,2365,309 E Cleveland St,Sundance,WY,82729,Wyoming - Bike MS 2014,20902
2013,20902,COC Bike Events,Wyoming Bike MS 2013,11/5/2012 17:04,8/17/2013 15:33,300000,280,7,10006,210118.03,91861.4,28,29,7,1,5540,8,118256.63,117,32198.75,170,179839.28,473,745,1920,309 E Cleveland St,Sundance,WY,82729,Wyoming - Bike MS 2013,18654
2013,23061,COC Bike Events,COC - Bike MS 2014 For Pre Reg Donations,9/30/2013 14:24,6/29/2013 14:37,3650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3645 W 112th Ave,,CO,,COC - Bike MS 2014 For Pre Reg Donations,0
2015,25573,COC Bike Events,Bike MS: Wyoming 2015,10/27/2014 21:04,8/15/2015 10:32,260000,189,1,7591.75,187878.69,73973.58,22,22,5,0,2327,13,113905.11,84,27440.89,106,163067.8,1196,5543.55,1730,309 E Cleveland St,Sundance,WY,82729,COC 2015 Bike MS: Wyoming,22981
2016,27037,COC Bike Events,Colorado Bike MS: Locally powered by Anthem ,9/3/2015 13:09,6/25/2016 11:08,4000000,3157,20,131832.77,3337179.5,2439139.43,201,217,12,48,109037,530,898040.07,1794,542714.02,1383,2850087.68,24698.43,13170.82,22059,3645 W 112th Ave,Westminster,CO,80031,COC 2016 Bike MS: Colorado,25572
