,,,,,
National Team Name,Event Name,Event Start Date,Location,Revenue Raised,Number of Team Members
,2016 BIKE MS: PGA TOUR CYCLE TO THE SHORE  *START/END DATE FIELDS CHANGED FOR REPORTING*,09/29/2016,TPC Sawgrass,"$1,000.00",1
,FLN 2017 Bike MS: PGA TOUR Cycle to the Shore,10/14/2017,TPC Sawgrass,$0.00,1
,FLS Bike MS 2013,04/01/2013,TBD,"$3,438.00",8
,NCT 2017 Bike MS: Tour to Tanglewood,09/16/2017,,"$1,145.00",1
AIG Bike Team,,,,$150.00,3
,OHA Bike MS 2016: Buckeye Breakaway,08/06/2016,Brunswick,$150.00,3
American Express Bike Team,,,,"$38,192.26",66
,AZA 2018 Bike MS: Arizona,03/24/2018,"Fort McDowell, AZ",$100.00,1
,AZA 2017 Bike MS: Arizona,03/25/2017,,"$8,847.05",9
,FY2013 Bike MS,05/18/2013,Sedona Verde Valley,"$18,588.21",17
,FLS Bike MS 2013,04/01/2013,TBD,"$10,657.00",23
,FLS Bike Volunteer 2013,04/01/2013,TBD,$0.00,16
Anheuser-Busch Bike Team,,,,"$29,208.01",43
,FLN 2017 Bike MS: PGA TOUR Cycle to the Shore,10/14/2017,TPC Sawgrass,$5.00,1
,2016 BIKE MS: PGA TOUR CYCLE TO THE SHORE  *START/END DATE FIELDS CHANGED FOR REPORTING*,09/29/2016,TPC Sawgrass,$501.00,2
,2013 Bike MS Gateway Getaway,09/07/2013,,"$22,617.01",29
,2016 Bike MS: Country Challenge,09/17/2016,,"$2,430.00",5
,Hops to Hops Bike MS 2013,09/15/2013,LAM,"$3,655.00",6
AT&T Bike Team,,,,"$83,169.57",149
,CAL 2017 Bike MS: Coastal Challenge,03/25/2017,,$0.00,2
,CAS 2017 Bike MS: Bay to Bay,10/21/2017,,"$7,832.00",12
,"New Jersey, Oakhurst - Coast the Coast Bike MS 2013",05/18/2013,MON,"$12,030.01",22
,Hops to Hops Bike MS 2013,09/15/2013,LAM,$362.00,5
,TXH 2018 Bike MS: Dallas,05/05/2018,Dallas,$300.00,
,TXH 2017 Bike MS: San Antonio,10/07/2017,San Antonio,"$12,555.00",27
,TXH 2017 Bike MS: Dallas,05/06/2017,,"$16,654.00",18
,TXH 2016 Bike MS: San Antonio,10/01/2016,San Antonio,"$13,972.56",32
,"Texas, Dallas - Bike MS: Sam's Club Round Up Ride 2013",05/04/2013,Dallas-Fort Worth,"$17,950.00",30
,"Texas, San Antonio - Bike MS: Valero 2012 Alamo Ride to the River",10/13/2012,San Antonio,"$1,100.00",
,TXH 2017 Bike MS: BP MS 150,04/29/2017,,$414.00,1
Autoliv,,,,"$38,171.76",80
,MIG 2017 Bike MS: Great Lakes Mid Michigan Breakaway,07/15/2017,,"$8,837.93",28
,2013 Mid Michigan Bike MS,07/13/2013,Mid Michigan Bike MS,"$11,093.35",29
,UTU 2017 Bike MS: Harmons Best Dam Bike Ride,06/24/2017,Logan,"$12,875.48",13
,2013 Bike MS Utah:  Harmons Best Dam Bike Ride,06/29/2013,"Logan, Utah","$5,365.00",10
Bank of America Bike Team,,,,"$101,510.21",104
,Bike MS: Waves to Wine Ride 2016,09/24/2016,San Francisco,"$2,416.42",5
,CAN 2018 Bike MS: Waves to Wine,09/22/2018,SOMO Village,$0.00,1
,CAN 2017 Bike MS: Waves to Wine,09/23/2017,,"$5,545.00",8
,FLS 2018 Bike MS: Breakaway to Key Largo,03/03/2018,"Miami, FL",$785.00,
,2013 Great Maine Getaway,08/10/2013,"Biddeford, Maine","$1,215.00",4
,NCT 2017 Bike MS: Breakaway to the Beach,10/07/2017,"Sunset Beach, NC","$9,940.00",12
,NCT 2017 Bike MS: Tour to Tanglewood,09/16/2017,,"$38,073.77",25
,Hops to Hops Bike MS 2013,09/15/2013,LAM,"$2,086.00",6
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY","$29,809.02",22
,"Texas, Dallas - Bike MS: Sam's Club Round Up Ride 2013",05/04/2013,Dallas-Fort Worth,"$4,760.00",13
,TXH 2017 Bike MS: Dallas,05/06/2017,,"$5,150.00",5
,TXH 2017 Bike MS: BP MS 150,04/29/2017,,"$1,730.00",3
Bayer Bike Team,,,,"$31,499.33",59
,Waves to Wine 2013,09/21/2013,San Francisco,"$15,963.33",25
,CAN 2017 Bike MS: Waves to Wine,09/23/2017,,"$3,965.00",12
,NCT 2013 Bike MS New Bern,09/07/2013,New Bern,"$8,201.00",18
,2013 BIKE MS COUNTRY ROADS RIDE,09/14/2013,The Greenbrier,"$3,370.00",4
Bechtel Bike Team,,,,"$187,720.00",67
,TXH 2016 Bike MS: Hammond,10/08/2016,,$375.00,3
,TXH 2018 Bike MS: BP MS 150,04/28/2018,,"$3,930.00",
,TXH 2017 Bike MS: BP MS 150,04/29/2017,,"$183,415.00",64
Best Buy Bike Team,,,,"$29,394.67",30
,MNM 2018 Bike MS: MS 150 Ride,06/08/2018,Minnesota,$186.20,5
,MNM 2017 Bike MS: C.H. Robinson MS 150 Ride,06/09/2017,,"$25,598.47",20
,NYR 2018 Bike MS: Buffalo's Great Lake Escape ,08/11/2018,Evangola State Park,$50.00,
,Bike MS: City to Shore Ride 2013,09/28/2013,New Jersey,"$3,560.00",5
Biogen Idec Bike Team,,,,"$60,682.00",154
,2013 Bike MS - Colorado,06/29/2013,MS1,$0.00,1
,MAM 2017 Bike MS: Seacoast Escape,08/26/2017,"Stratham, NH","$4,925.00",8
,MAM 2017 Bike MS: Green Mountain Getaway,08/05/2017,"Burlington, VT",$700.00,3
,MAM 2017 Bike MS: Cape Cod Getaway,06/24/2017,"Quincy , MA","$13,675.00",17
,2013 Cape Cod Getaway MS 150 Bike Tour,06/29/2013,"Boston, Ma","$3,828.00",2
,MAM 2017 Bike MS: Great Maine Getaway,08/12/2017,"Biddeford, ME","$1,735.00",2
,2016 Bike MS Great Maine Getaway,08/13/2016,"Biddeford, Maine","$2,880.00",4
,2013 Great Maine Getaway,08/10/2013,"Biddeford, Maine",$300.00,1
,2013 GREEN MOUNTAIN GETAWAY,08/03/2013,"Burlington, Vt",$550.00,2
,2016 Bike MS Seacoast Escape,08/27/2016,New Hamphire,$0.00,1
,2016 Ride The Vineyard,04/30/2016,Martha's Vineyard,"$6,720.00",15
,2013 Bike and Hike the Berkshires,09/21/2013,"Jiminy Peak, Hancock, Ma","$2,471.00",5
,2013 Bike MS Minuteman Ride,07/20/2013,"Concord, Ma","$17,033.00",27
,2013 Ride The Vineyard,05/04/2013,Martha's Vineyard High School,"$2,295.00",5
,2016 Bike MS Seacoast Escape,08/27/2016,New Hamphire,"$1,950.00",6
,2016 Bike MS Green Mountian Getaway,08/06/2016,Burlington VT,"$1,470.00",5
,2013 Bike MS Seacoast Escape,08/24/2013,Stratham NH,$150.00,2
,NCT 2013 Bike MS New Bern,09/07/2013,New Bern,$0.00,47
,NCT 2017 Bike MS: Breakaway to the Beach,10/07/2017,"Sunset Beach, NC",$0.00,1
Blue Cross Blue Shield Bike Team,,,,"$9,189.60",21
,KSG 2017 Bike MS: Kansas City,09/16/2017,,"$3,757.60",8
,2016 Bike MS Cape Cod Getaway,06/25/2016,Boston,"$1,835.00",4
,Bike MS: Chesapeake Challenge 2013,06/01/2013,Talbot County Community Center,$0.00,1
,"Arkansas, Little Rock - Bike MS: Rock'n Hot Ride 2013",09/07/2013,Central Arkansas,"$3,597.00",8
Booz Allen Hamilton Bike Team,,,,"$9,210.00",20
,2013 BIKE MS: RIDE THE RIVERSIDE,06/08/2013,National Harbor,"$8,675.00",19
,MDM 2017 Bike MS: Chesapeake Challenge,06/17/2017,"Easton, MD",$485.00,1
,MDM 2018 Bike MS: Chesapeake Challenge,06/16/2018,Talbot County Community Center,$50.00,
Burns & McDonnell Bike Team,,,,"$97,706.00",166
,GAA 2017 Bike MS: Atlanta Peach Ride,10/21/2017,"Atlanta, GA","$1,685.00",2
,KSG 2018 Bike MS: Kansas City,09/29/2018,Kansas City,$20.00,10
,KSG 2017 Bike MS: Kansas City,09/16/2017,,"$86,511.00",129
,KSG 2017 Bike MS: Nebraska,09/09/2017,,"$8,415.00",10
,MNM 2017 Bike MS: Twin Cities Ride,05/07/2017,"St. Paul, Minnesota",$300.00,10
,MNM 2018 Bike MS: MS 150 Ride,06/08/2018,Minnesota,$0.00,1
,MNM 2017 Bike MS: C.H. Robinson MS 150 Ride,06/09/2017,,$725.00,4
,MNM 2018 Bike MS: Twin Cities Ride,05/20/2018,"St. Paul, Minnesota",$50.00,
C H Robinson Bike Team,,,,$290.00,49
,MNM 2018 Bike MS: MS 150 Ride,06/08/2018,Minnesota,$290.00,49
Cardinal Health,,,,"$18,320.00",35
,FLS 2017 Bike MS: Breakaway to Key Largo,03/04/2017,,"$4,425.00",9
,OHA 2017 Bike MS: Central Ohio Challenge,07/08/2017,Dublin,"$4,830.00",13
,OHA BIKE MS PEDAL TO THE POINT 2013,08/03/2013,Brunswick High School,"$1,600.00",3
,BIKE MS: CENTRAL OHIO CHALLENGE,07/20/2013,New Albany High School,"$7,465.00",10
Cargill Bike Team,,,,"$232,349.24",176
,2013 Cruise the Cornfields,06/22/2013,Iowa,"$1,760.00",3
,2013 MS 150,06/07/2013,Minnesota,"$230,589.24",172
,2013 Twin Cities Ride,05/11/2013,maplewood,$0.00,1
Charles Schwab,,,,"$43,829.00",53
,Waves to Wine 2013,09/21/2013,San Francisco,"$12,980.00",15
,COC 2018 Bike MS: Colorado,06/23/2018,"Fort Collins, CO",$59.00,
,COC 2017 Bike MS: Colorado,06/24/2017,,"$19,710.00",21
,2013 Bike MS - Colorado,06/29/2013,MS1,"$6,715.00",11
,PAE 2017 Bike MS: Bike to the Bay,10/07/2017,"Dover, DE","$2,590.00",2
,PAE  2016 Bike MS: Bike to the Bay 2016,10/08/2016,"Dover, DE","$1,455.00",1
,WAS 2016 Bike MS: Alaska (Hope to a Cure),05/21/2016,"Girdwood, AK",$320.00,3
Chevron Bike Team,,,,"$71,355.41",74
,ALC 2016 Bike MS: Mississippi 150,10/08/2016,,"$1,745.00",9
,Waves to Wine 2013,09/21/2013,San Francisco,"$39,784.00",36
,TXH 2017 Bike MS: Cactus and Crude Ride,07/15/2017,Midland,"$9,525.00",10
,"Texas, Midland - bike MS: Cactus & Crude 2013, presented by Apache",07/20/2013,"Midland-Post, TX","$19,351.41",17
,"Texas, Houston - 2013 BP MS 150",04/20/2013,Houston to Austin,$950.00,2
Ciena Bike Team,,,,$585.00,1
,2016 Ride the Rhode,06/18/2016,Rhode Island,$585.00,1
Cigna,,,,"$4,390.00",14
,MOS 2018 Bike MS: Gateway Getaway Ride,09/08/2018,"Godfrey, IL",$0.00,3
,MOS 2017 Bike MS: Express Scripts Gateway Getaway Ride,09/09/2017,"Godfrey, IL","$2,260.00",3
,PAE 2018 Bike MS: City to Shore Ride ,09/29/2018,New Jersey,$0.00,2
,PAE 2017 Bike MS: City to Shore Ride,09/23/2017,New Jersey,"$1,155.00",5
,PAX 2017 Bike MS: Keystone Country Ride,07/22/2017,Hollidaysburg,$975.00,1
Cisco Bike Team,,,,"$50,409.59",85
,CAN 2018 Bike MS: Waves to Wine,09/22/2018,SOMO Village,$0.00,1
,CAN 2017 Bike MS: Waves to Wine,09/23/2017,,"$12,281.92",20
,Waves to Wine 2013,09/21/2013,San Francisco,"$33,912.67",41
,"Texas, Dallas - Bike MS: Sam's Club Round Up Ride 2013",05/04/2013,Dallas-Fort Worth,$650.00,1
,UTU 2017 Bike MS: Harmons Best Dam Bike Ride,06/24/2017,Logan,$925.00,8
,2013 Bike MS Utah:  Harmons Best Dam Bike Ride,06/29/2013,"Logan, Utah","$1,375.00",7
,2016 Bike MS: Harmon's Best Dam Bike Ride,06/25/2016,,"$1,265.00",6
,2016 Bike MS: Harmon's Best Dam Bike Ride,06/25/2016,,$0.00,1
Citi Bike Team,,,,$279.52,1
,2012 Bike MS New York City,10/21/2012,,$235.00,
,OHG 2016 BIKE MS: Oxford 2016,08/06/2016,Oxford,$44.52,1
Coca-Cola Bike Team,,,,"$2,395.00",8
,Bike MS Cox Atlanta Ride 2013,09/14/2013,Callaway Gardens,$920.00,2
,2013 Twin Cities Ride,05/11/2013,maplewood,$280.00,4
,Bike MS: City to Shore Ride 2013,09/28/2013,New Jersey,"$1,195.00",2
Comcast Bike Team,,,,"$81,937.88",136
,COC 2017 Bike MS: Colorado,06/24/2017,,"$14,910.00",11
,MAM 2017 Bike MS: Cape Cod Getaway,06/24/2017,"Quincy , MA",$0.00,1
,MAM 2017 Bike MS: Cape Cod Getaway,06/24/2017,"Quincy , MA",$500.00,1
,2016 Bike MS Cape Cod Getaway,06/25/2016,Boston,$535.00,2
,2013 Cape Cod Getaway MS 150 Bike Tour,06/29/2013,"Boston, Ma","$2,010.00",3
,2013 West Michigan Bike MS,06/08/2013,West Michigan Bike MS,"$3,415.00",7
,MNM 2018 Bike MS: MS 150 Ride,06/08/2018,Minnesota,$0.00,1
,PAE 2017 Bike MS: Bike to the Bay,10/07/2017,"Dover, DE",$800.00,3
,Bike MS: City to Shore Ride 2013,09/28/2013,New Jersey,"$54,254.88",97
,PAX 2017 Bike MS: Escape to the Lake,06/10/2017,,$100.00,1
,2016 Bike MS: Escape to the Lake,06/11/2016,Western Pennsylvania,"$2,818.00",4
,TXH 2017 Bike MS: Little Rock,09/09/2017,,"$1,095.00",3
,UTU 2017 Bike MS: Harmons Best Dam Bike Ride,06/24/2017,Logan,$500.00,2
,WAS 2018 Bike MS: Deception Pass Classic,09/08/2018,"Mount Vernon, WA","$1,000.00",
ConocoPhillips,,,,"$234,973.00",140
,MNM 2018 Bike MS: MS 150 Ride,06/08/2018,Minnesota,$0.00,2
,MNM 2017 Bike MS: C.H. Robinson MS 150 Ride,06/09/2017,,"$7,690.00",6
,TXH 2018 Bike MS: BP MS 150,04/28/2018,,"$7,005.00",
,TXH 2017 Bike MS: BP MS 150,04/29/2017,,"$220,278.00",132
Cox Communications,,,,"$1,727.00",4
,Bike MS: Vegas 2016,09/24/2016,Las Vegas,"$1,727.00",4
Deloitte Bike Team,,,,"$123,640.92",114
,MNM 2017 Bike MS: C.H. Robinson MS 150 Ride,06/09/2017,,"$40,608.00",50
,MOS 2017 Bike MS: Express Scripts Gateway Getaway Ride,09/09/2017,"Godfrey, IL",$300.00,2
,2016 Bike MS: Country Challenge,09/17/2016,,"$3,745.00",3
,2016 Bike MS: Coast the Coast,05/21/2016,,$150.00,2
,TXH 2017 Bike MS: BP MS 150,04/29/2017,,"$77,722.92",54
,2016 Bike MS: Harmon's Best Dam Bike Ride,06/25/2016,,$250.00,1
,2016 Bike MS: Harmon's Best Dam Bike Ride,06/25/2016,,$865.00,2
Deloitte National Bike Team,,,,"$408,539.03",440
,CAL Bike 2012 - Ventura,10/06/2012,Ventura,$125.00,
,CAN 2017 Bike MS: Waves to Wine,09/23/2017,,"$32,130.00",16
,Waves to Wine 2013,09/21/2013,San Francisco,"$41,674.00",32
,CAS 2017 Bike MS: Bay to Bay,10/21/2017,,"$14,650.00",28
,Westport Bike MS 2013,06/09/2013,"Westport, Conn","$4,683.97",7
,2013 BIKE MS: RIDE THE RIVERSIDE,06/08/2013,National Harbor,"$11,814.00",15
,GAA 2017 Bike MS: Atlanta Peach Ride,10/21/2017,"Atlanta, GA","$6,574.00",12
,ILD 2017 Bike MS: Tour de Farms,06/10/2017,"DeKalb, IL","$10,095.00",23
,BIKE MS 2013 - DEKALB,06/22/2013,ILLINOIS,"$5,036.00",8
,MNM 2018 Bike MS: MS 150 Ride,06/08/2018,Minnesota,$100.00,11
,2013 MS 150,06/07/2013,Minnesota,"$6,655.00",5
,"New Jersey, Oakhurst - Coast the Coast Bike MS 2013",05/18/2013,MON,$400.00,2
,NJM 2017 Bike MS: Country Challenge,09/16/2017,"Morristown, NJ",$870.00,2
,NJM 2017 Bike MS: Coast the Coast,05/20/2017,West Long Branch,"$3,030.00",6
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY","$8,432.00",20
,OHA 2017 Bike MS: Buckeye Breakaway,08/05/2017,Brunswick,"$33,672.00",17
,OHA BIKE MS PEDAL TO THE POINT 2013,08/03/2013,Brunswick High School,"$31,908.00",26
,PAE 2017 Bike MS: City to Shore Ride,09/23/2017,New Jersey,"$18,032.00",25
,Bike MS: City to Shore Ride 2013,09/28/2013,New Jersey,"$4,928.00",13
,Bike MS: City to Shore Ride 2013,09/28/2013,New Jersey,"$24,003.00",15
,PENNSYLVANIA - BIKE MS: ESCAPE TO THE LAKE 2013,06/08/2013,Pennsylvania and Ohio,"$8,020.00",3
,TXH 2017 Bike MS: Dallas,05/06/2017,,"$19,047.60",24
,TXH 2018 Bike MS: BP MS 150,04/28/2018,,"$1,345.00",
,"Texas, Houston - 2013 BP MS 150",04/20/2013,Houston to Austin,"$87,510.46",64
,TXH 2018 Bike MS: Dallas,05/05/2018,Dallas,$114.00,
,"Texas, Dallas - Bike MS: Sam's Club Round Up Ride 2013",05/04/2013,Dallas-Fort Worth,"$9,295.00",16
,WAS 2017 Bike MS: Deception Pass Classic,09/09/2017,"Mount Vernon, WA","$6,360.00",12
,2013 Bike MS - Washington,09/07/2013,Mount Vernon,"$18,035.00",38
Disney Bike Team,,,,$0.00,3
,FLC 2018 Bike MS: The Citrus Tour,05/05/2018,"Orlando, FL",$0.00,1
,MNM 2017 Bike MS: Twin Cities Ride,05/07/2017,"St. Paul, Minnesota",$0.00,2
DLR Group Bike Team,,,,$840.00,2
,MDM 2018 Bike MS: Chesapeake Challenge,06/16/2018,Talbot County Community Center,$100.00,
,MNM 2017 Bike MS: Iowa Ride,06/24/2017,,$740.00,2
Dow Bike Team,,,,"$63,076.00",60
,Bike to the Bay 2013,09/21/2013,Bike to the Bay,"$4,665.00",12
,Bike MS:  Cruisin' the Crossroads 2013,09/07/2013,,"$1,070.00",7
,MIG 2017 Bike MS: Great Lakes Mid Michigan Breakaway,07/15/2017,,"$5,112.00",6
,MIG 2017 Bike MS: Great Lakes West Michigan Breakaway,06/03/2017,West Michigan Breakaway,"$50,359.00",30
,Bike MS: City to Shore Ride 2016,09/24/2016,New Jersey,"$1,870.00",5
EMD Serono Bike team,,,,"$127,377.10",149
,ALC 2017 Bike MS: Tour De Beach,09/16/2017,Hampton Inns and Suite,$390.00,3
,2013 Cape Cod Getaway MS 150 Bike Tour,06/29/2013,"Boston, Ma","$119,461.10",129
,NCT 2013 Bike MS New Bern,09/07/2013,New Bern,$0.00,1
,VAR 2017 Bike MS: Colonial Crossroads,06/03/2017,"Williamsburg, VA","$7,085.00",15
,VAR 2018 Bike MS: Colonial Crossroads,06/02/2018,"Williamsburg, VA",$441.00,1
Enterprise Bike Team,,,,"$9,152.20",27
,FLS 2017 Bike MS: Breakaway to Key Largo,03/04/2017,,"$3,939.50",3
,"New Jersey, Oakhurst - Coast the Coast Bike MS 2013",05/18/2013,MON,"$1,022.70",7
,NJM 2017 Bike MS: Coast the Coast,05/20/2017,West Long Branch,$70.00,1
,2016 Bike MS: Coast the Coast,05/21/2016,,"$2,155.00",13
,ORC 2013 BIKE MS,08/03/2013,Monmouth,"$1,965.00",3
Ernst & Young Bike Team,,,,"$166,812.87",255
,Waves to Wine 2013,09/21/2013,San Francisco,"$31,507.00",27
,CAN 2017 Bike MS: Waves to Wine,09/23/2017,,"$26,615.69",42
,2013 BIKE MS: RIDE THE RIVERSIDE,06/08/2013,National Harbor,"$9,706.00",10
,MDM 2017 Bike MS: Chesapeake Challenge,06/17/2017,"Easton, MD","$2,184.00",5
,2016 Bike MS: Chesapeake Challenge,06/04/2016,,"$3,310.00",7
,Great New Jersey Country Bike Ride 2013 - Paramus,09/21/2013,Paramus,"$2,805.00",3
,NJM 2017 Bike MS: Coast the Coast,05/20/2017,West Long Branch,"$4,765.00",15
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY","$16,934.18",32
,NYN 2016 BIKE MS: NYC,10/02/2016,Westside Highway and 46th St Pier 92/94,"$20,340.00",39
,NYN 2016 BIKE MS: NYC,10/02/2016,Westside Highway and 46th St Pier 92/94,"$2,790.00",7
,Bike MS: City to Shore Ride 2013,09/28/2013,New Jersey,"$2,755.00",5
,TXH 2017 Bike MS: BP MS 150,04/29/2017,,"$20,128.00",35
,"Texas, Houston - 2013 BP MS 150",04/20/2013,Houston to Austin,"$19,333.00",23
,"VAR 2013 Bike MS:Ride Virginia, Richmond to Williamsburg",06/01/2013,Richmond to Williamsburg,"$3,640.00",5
Express Scripts / CuraScript Bike Team,,,,"$29,133.40",58
,FLC 2018 Bike MS: The Citrus Tour,05/05/2018,"Orlando, FL",$25.00,1
,FLC 2017 Bike MS: Mid Florida,05/06/2017,,"$23,103.40",45
,Bike MS 2013,04/20/2013,ORL,"$6,005.00",12
FedEx Bike Team,,,,"$105,690.71",266
,FY2013 Bike MS,05/18/2013,Sedona Verde Valley,"$1,800.00",2
,CAL Bike 2013 - Las Vegas,11/09/2013,Las Vegas,$505.00,3
,CAL Bike 2012 - Ventura,10/06/2012,Ventura,$50.00,
,CAN 2017 Bike MS: Waves to Wine,09/23/2017,,"$1,650.00",5
,Waves to Wine 2013,09/21/2013,San Francisco,"$2,175.00",7
,CAS 2016 Bike MS: Bay to Bay,10/22/2016,,$100.00,2
,2013 BIKE MS: RIDE THE RIVERSIDE,06/08/2013,National Harbor,"$1,765.00",5
,Bike MS 2013,04/20/2013,ORL,$0.00,1
,BIKE MS 2013 - DEKALB,06/22/2013,ILLINOIS,"$1,275.00",15
,KSG 2017 Bike MS: Nebraska,09/09/2017,,"$1,114.00",5
,2016 KSG Bike MS: Nebraska Ride,09/24/2016,,"$1,075.00",6
,KSG 2017 Bike MS: Ozarks Ride,09/09/2017,Springfield,"$2,245.00",9
,KYW 2013 Bike MS,06/22/2013,"Gallrein Farms Shelbyville,  KY",$535.00,3
,MIG 2017 Bike MS: Great Lakes Fall Breakaway,09/09/2017,"Brighton, MI","$1,010.00",4
,2016 Great Lakes Fall Breakaway,09/10/2016,Fall Breakaway,"$2,245.00",11
,PAX 2017 Bike MS: Keystone Country Ride,07/22/2017,Hollidaysburg,"$2,593.20",4
,2016 Bike MS: Keystone Country Ride,07/23/2016,Hollidaysburg/State College,"$2,622.00",6
,PAX 2017 Bike MS: Escape to the Lake,06/10/2017,,"$10,180.00",32
,PENNSYLVANIA - BIKE MS: ESCAPE TO THE LAKE 2013,06/08/2013,Pennsylvania and Ohio,"$20,629.00",42
,PAX 2017 Bike MS: Cook Forest River Ride,09/16/2017,Cook Forest,$725.00,3
,2016 Bike MS: Cook Forest River Ride,09/17/2016,,"$1,230.00",4
,Pennsylvania - bike MS: Cook Forest River Ride 2013,09/21/2013,"Clarion County, Cook Forest",$290.00,2
,PAX 2017 Bike MS: Cook Forest River Ride,09/16/2017,Cook Forest,$520.00,7
,"Texas, Houston - 2013 BP MS 150",04/20/2013,Houston to Austin,"$28,929.87",45
,2013 Bike MS Utah:  Harmons Best Dam Bike Ride,06/29/2013,"Logan, Utah","$5,015.00",8
,2013 BIKE MS IN ALASKA,09/07/2013,"Alyeska Day Lodge, Girdwood, AK","$3,826.39",8
,WAS 2017 Bike MS: Cycle the Silver Valley,09/16/2017,"Kellogg, ID",$250.00,2
,WAS 2017 Bike MS: Hope to a Cure,05/20/2017,,"$11,336.25",25
Fidelity Investments Bike Team,,,,"$133,058.08",180
,2016 BIKE MS: PGA TOUR CYCLE TO THE SHORE  *START/END DATE FIELDS CHANGED FOR REPORTING*,09/29/2016,TPC Sawgrass,$500.00,13
,Bike MS:  Cruisin' the Crossroads 2013,09/07/2013,,"$1,835.00",4
,INI 2017 Bike MS: Cruisin' the Crossroads,09/09/2017,"Lebanon, IN",$0.00,1
,MAM 2017 Bike MS: Ride the Rhode,06/10/2017,"Kingston, RI","$3,730.00",4
,2016 Ride the Rhode,06/18/2016,Rhode Island,"$1,610.00",2
,MNM 2018 Bike MS: MS 150 Ride,06/08/2018,Minnesota,$0.00,4
,NCT 2013 Bike MS New Bern,09/07/2013,New Bern,"$27,060.33",31
,OHG 2017 Bike MS: Oxford,08/05/2017,,"$26,308.33",27
,OHG 2017 Bike MS: Oxford,08/05/2017,,$0.00,4
,OHG 2013 BIKE MS: VENTURE THE VALLEY 2013,08/24/2013,Camp Kern Lebanon Ohio,"$38,548.42",46
,OHG 2016 BIKE MS: Oxford 2016,08/06/2016,Oxford,$0.00,4
,UTU 2017 Bike MS: Harmons Best Dam Bike Ride,06/24/2017,Logan,"$33,466.00",40
Ford Bike Team,,,,"$20,442.30",32
,KYW 2017 Bike MS: Louisville,06/24/2017,,"$2,200.00",2
,"2016 Bike MS: Bikes, Bourbon & Barbeque",06/25/2016,,"$2,185.00",3
,KYW 2017 Bike MS: Louisville,06/24/2017,,$670.00,4
,MIG 2017 Bike MS: Great Lakes Mid Michigan Breakaway,07/15/2017,,"$3,611.00",9
,MIG 2017 Bike MS: Great Lakes Bavarian Breakaway,09/23/2017,Harvey Kern Pavilion,"$10,041.30",8
,MIG 2017 Bike MS: Great Lakes Fall Breakaway,09/09/2017,"Brighton, MI",$250.00,3
