Internal Event Name,Event ID,Team Division,Company,Number of Participants,Total Fees Paid,Team Total Confirmed ($),Total Online Gifts($),Total Offline Confirmed Gifts($),Total Offline Unconfirmed Gifts($),Team Goal($),Total Confirmed Gifts in Team History($),Previous Event Fiscal Year,Previous Event Confirmed Gifts($),Previous Event Team Members,Fiscal Year
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Norton Rose Fulbright,167,16540,412986.61,158449.2,254537.41,100,250000,412986.61,,0,0,2014
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,ExxonMobil Cycling Team,200,20480,388668.48,321987.49,66680.99,200,400000,1099219.91,,0,0,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,ExxonMobil,225,23060,384393.14,323949.1,60444.04,200,500000,384393.14,,0,0,2014
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Calpine Corporation,187,130,382403.11,229688.09,152715.02,50,400000,1023486.92,2015,451379.99,210,2016
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Saint Arnold Brewing Company,389,38820,378646.06,320951.54,57694.52,2275,400000,1094091.06,2015,369566.06,385,2016
TXH 2016 Bike MS: BP MS 150,27003,Corporate,ConocoPhillips,158,16160,376039.24,272246.35,103792.89,3536,500000,1042200.09,2015,438847.85,228,2016
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Saint Arnold Brewing Company,394,39380,369566.06,316581.89,52984.17,2360,400000,1094091.06,,0,0,2015
TXH 2016 Bike MS: BP MS 150,27003,Corporate,ExxonMobil Cycling Team,183,18389.99,363827.53,299693.83,64133.7,360,400000,1099219.91,2015,388668.48,198,2016
COC 2016 Bike MS: Colorado,27037,Corporate,,193,8145.45,345520.31,243594.78,101925.53,1655,350000,997705.03,2015,312656.59,186,2016
MNM 2016 Bike MS: MS 150 Ride,27006,Corporate,Donaldson,375,8604.5,338323.32,247545.17,90778.15,2595,275000,338323.32,,0,0,2016
TXH 2017 Bike MS: BP MS 150,28263,Corporate,ExxonMobil,160,15240,337932.9,285892.08,52040.82,2900,400000,1099219.91,2016,363827.53,182,2017
COC 2017 Bike MS Colorado,28914,Corporate,,171,7117,337863.13,242463.6,95399.53,4762.1,350000,997705.03,2016,345520.31,193,2017
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Saint Arnold Brewing Company,416,41500,337794.77,273459.23,64335.54,690,400000,337794.77,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Anadarko,184,18200,328724.98,262039.72,66685.26,250,325000,328724.98,,0,0,2013
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Saint Arnold Brewing Company,395,32815,326741.94,287611.61,39130.33,1060,400000,1094091.06,2016,378646.06,388,2017
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,403,39860,322906.8,276065.18,46841.62,7825,345000,322906.8,,0,0,2014
TXH 2017 Bike MS: BP MS 150,28263,Corporate,"The Houstonian Club, Hotel and Spa",106,9455,318915.28,230295.78,88619.5,1710,615000,1740697.43,2016,585499.16,113,2017
COC 2015 Bike MS: Colorado,25572,Corporate,TEAM LEFTHAND,186,9512.54,312656.59,208829.02,103827.57,2275,250000,997705.03,2014,264482.15,156,2015
MNM 2017 Bike MS: MS 150 Ride,28105,Corporate,,323,7105.5,308759.47,236803.87,71955.6,4417.5,300000,314168.97,2016,338323.32,375,2017
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Noble Drilling Services Inc.,68,5380,306596.84,98348,208248.84,580,250000,1468160.22,,0,0,2015
CAN 2016 Bike MS: Waves to Wine Ride,27080,Corporate,Salesforce Bike MS,235,7729.56,295640.23,183982.18,111658.05,2613.25,300000,776780.11,2015,244086.32,179,2016
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,,166,16790,294485.04,214388.86,80096.18,1500,300000,601722.62,,0,0,2015
KSG 2015 Bike MS: Kansas City Ride,25116,Corporate,Crestwood Midstream Partners,46,1185,285790.84,79692,206098.84,195,0,749686.44,2014,297368,29,2015
CAN 2014 Bike MS: Waves to Wine Ride,22900,Corporate,Salesforce Bike MS,205,7544.08,285148.1,186365.9,98782.2,5000,250000,285148.1,,0,0,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,21,2160,284971,210011,74960,0,250000,284971,,0,0,2014
COC 2015 Bike MS: Colorado,25572,Corporate,GLP,16,691,284276,83331,200945,0,175000,673105.33,2014,242654.88,23,2015
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,CGG,90,9270,276188.16,202415.46,73772.7,400,200000,692923.11,,0,0,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Anadarko Petroleum Corp.,168,16970,275808.5,213116.79,62691.71,525,325000,275808.5,,0,0,2014
PAE0EMS120150926CTS Bike MS: City to Shore Ride 2015,25223,Corporate,uphs/penn,367,14650,273272.01,227624.14,45647.87,1887,250000,846937.75,,0,0,2015
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,93,9300,269123.93,178475.62,90648.31,0,250000,269123.93,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,27,2700,267844.88,161449.88,106395,0,200000,267844.88,2012,94816,13,2013
Colorado - Bike MS 2014,22980,Corporate,,159,7230.8,264482.15,180794.97,83687.18,1694.52,250000,264482.15,2013,229326.83,144,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,CGG,90,9180,260435.78,181818.56,78617.22,450,200000,260435.78,,0,0,2014
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Team Shell,273,28630,257011.7,186256.74,70754.96,755,250000,695055.15,,0,0,2015
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Team Susman Godfrey,34,3380,255540.35,212222.01,43318.34,0,260000,437631.35,,0,0,2015
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,136,12200,255403.5,157438.68,97964.82,120,175000,255403.5,,0,0,2013
COC 2016 Bike MS: Colorado,27037,Corporate,GLP,16,874.3,252144.33,104914.33,147230,100,100000,673105.33,2015,284276,16,2016
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Shell Oil Company,295,29200,248031.5,193340.23,54691.27,2535,275000,248031.5,,0,0,2013
Minnesota - Bike MS: C.H. Robinson MS 150 Ride 2013,19263,Corporation,Cargill,269,7527.5,247236.24,161016.58,86219.66,0,300000,247236.24,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Susman Godfrey LLP,35,3500,246647.01,189277.01,57370,0,225000,246647.01,,0,0,2013
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Shell Oil Company,267,27250,245905.35,191724.78,54180.57,1525,300000,245905.35,,0,0,2014
CAN 2015 Bike MS: Waves to Wine Ride,25199,Corporate,Salesforce Bike MS,215,7278.6,244086.32,161299.45,82786.87,530,300000,776780.11,,0,0,2015
Colorado - Bike MS 2014,22980,Corporate,,23,1452,242654.88,87929.88,154725,200,200000,242654.88,2013,171113,15,2014
"TXH Texas, San Antonio - Bike MS 2015",26136,Corporate,HEB,273,575,236610.7,80465.91,156144.79,50,210000,689029,,0,0,2016
CAN 2017 Bike MS: Waves to Wine Ride,28894,Corporate,Salesforce Bike MS,168,7043.5,236568.56,159908.1,76660.46,3365,300000,776780.11,2016,295640.23,209,2017
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Bike Barn,305,29930,234039.04,203888.87,30150.17,830,300000,671014.38,,0,0,2015
Colorado - Bike MS 2013,20901,Corporate,Left Hand Brewing,146,7320,229326.83,151530.06,77796.77,1434,200000,229326.83,2012,182886.47,126,2013
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Texas Children's Hospital,211,21350,226723.79,208318.37,18405.42,1425,220000,531085.52,,0,0,2015
TXH 2016 Bike MS: San Antonio,27923,Corporate,HEB,278,1160,225749.3,77200.3,148549,0,250000,689029,2016,236610.7,272,2017
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,216,21300,224278.42,189125.61,35152.81,1245,200000,224278.42,,0,0,2013
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Baker Hughes Incorporated,147,15230,221178.71,162685.21,58493.5,7627,220000,562084.5,,0,0,2015
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Team Shell,208,19250,221095.2,140904.6,80190.6,2860,200000,695155.15,2016,201958.25,230,2017
TXH 2017 Bike MS: BP MS 150,28263,Corporate,,234,23465,220717.72,184403.72,36314,310,250000,671014.38,2016,211147.62,226,2017
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,,210,22080,220457.68,185355.14,35102.54,660,200000,542056.64,,0,0,2015
TXH 2017 Bike MS: BP MS 150,28263,Corporate,ConocoPhillips,135,12280,220283,167943,52340,3556,500000,1042200.09,2016,376039.24,157,2017
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,105,10300,219299.52,190165.61,29133.91,350,100000,219299.52,2012,62314.05,80,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Texas Children's Hospital,210,20800,219063.15,186249.59,32813.56,75,235000,219063.15,,0,0,2013
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Bike Barn,257,26340,214720.27,177489.99,37230.28,300,230000,214720.27,,0,0,2014
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Baker Hughes Incorporated,165,16535,213531.36,157424.36,56107,3855,135000,562084.5,2016,121828.43,79,2017
TXH 2017 Bike MS: BP MS 150,28263,Corporate,"Cheniere Energy, Inc.",100,8735,211768,88782,122986,400,250000,405397.11,2016,120856.58,114,2017
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Bike Barn,271,26700,211334.9,163629.9,47705,565,260000,211334.9,,0,0,2013
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Bike Barn,233,23950,211147.62,182900.82,28246.8,250,250000,671014.38,2015,234039.04,289,2016
TXH 2016 Bike MS: BP MS 150,27003,Corporate,CGG,48,4890,209784.43,163146.82,46637.61,325,165000,692923.11,2015,276188.16,88,2016
TXH 2016 Bike MS: BP MS 150,27003,Corporate,LyondellBasell,163,16479.99,209414.88,149722.04,59692.84,450,200000,601039.89,2015,184785.13,128,2016
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,University of Pennyslvania Health System,294,11154,209072.77,175493.77,33579,2691,150000,209072.77,,0,0,2014
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Plains All American,53,5300,208883.06,93488.03,115395.03,265,82500,344579.5,,0,0,2015
TXH 2017 Bike MS: BP MS 150,28263,Corporate,LyondellBasell,154,11135,203698.88,137493.34,66205.54,1600,200000,601039.89,2016,209414.88,159,2017
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Team Shell,231,23590,201958.25,154287,47671.25,3380,200000,695155.15,2015,257011.7,266,2016
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,NOV,151,15810,201118.28,159212.08,41906.2,0,185000,364949.3,,0,0,2015
TXH 2017 Bike MS: BP MS 150,28263,Corporate,CGG,62,5375,200124.64,169340.64,30784,1000,180000,692923.11,2016,209784.43,48,2017
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,HESS Corporation,110,11240,197298.52,122978.52,74320,100,180000,401189.1,,0,0,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,227,23300,195511.47,159917.02,35594.45,235,200000,195511.47,,0,0,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Schlumberger,178,18660,195316,164649.46,30666.54,450,300000,195316,,0,0,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Texas Children's Hospital,208,21460,193783.08,172381.5,21401.58,100,230000,193783.08,,0,0,2014
"Texas, Houston - 2013 BP MS 150",20226,Corporate,FUGRO,90,9000,193441.62,123518.49,69923.13,50,250000,193441.62,,0,0,2013
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,163,16290,192794.96,141122.33,51672.63,1040,190000,192794.96,,0,0,2014
PAE0EMS120150926CTS Bike MS: City to Shore Ride 2015,25223,Corporate,Dimension Data,326,420,192086.02,178445.02,13641,1050,300000,314272.52,,0,0,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,55,5710,189809.24,58563.42,131245.82,50,150000,189809.24,,0,0,2014
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Calpine Corporation,95,205,189703.82,112251.32,77452.5,2625,150000,1023486.92,2016,382403.11,181,2017
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Bechtel,67,6410,186015,127336,58679,0,225000,660649.41,2016,218269.65,80,2017
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Direct Energy,99,10140,185980.16,112016.98,73963.18,400,150000,185980.16,2013,78486.02,74,2014
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Schlumberger,156,13445,185650.53,161661.53,23989,630,200000,524213.78,2016,154901.04,163,2017
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Fugro,79,8020,185481.88,125753.2,59728.68,150,250000,185481.88,,0,0,2014
Colorado - Bike MS 2013,20901,Corporate,Hyatt Hotels and Resorts,206,11924,184917,125374,59543,1500,200000,184917,,0,0,2013
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,LyondellBasell,128,14060,184785.13,129581.11,55204.02,700,150000,601039.89,2014,168717.36,132,2015
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,,93,9440,183021.59,138184.4,44837.19,100,184000,297433.05,,0,0,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Noble Energy,79,8080,182214.23,104176.25,78037.98,100,100000,182214.23,,0,0,2014
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Schlumberger,167,17380,178673.97,155086.51,23587.46,425,200000,524113.78,,0,0,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,123,12660,178501.26,133908.44,44592.82,150,150000,178501.26,,0,0,2014
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Karbach Brewing Co.,221,19165,177933.68,152869.58,25064.1,620,130000,481898.12,2016,171285.99,194,2017
PAE0EMS120130928CTS - Bike MS: City to Shore Ride 2013,20331,Corporation,UPHS/PENN,291,11480,177845.48,140512.34,37333.14,1385,150000,177845.48,,0,0,2013
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Houston Methodist,301,30060,175830.05,162123.1,13706.95,800,125000,398825.35,2015,117269.71,188,2016
"Texas, San Antonio - Bike MS 2013",21526,Corporate,Valero,145,4959.94,172087.3,77866.68,94220.62,515,150000,172087.3,,0,0,2014
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,MRE Consulting,60,6280,171963.4,149256,22707.4,525,150000,447378.37,,0,0,2015
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Oceaneering,119,11920,171960.63,127298.99,44661.64,375,176000,360932.35,2014,152895.9,84,2015
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Marathon Oil,129,12800,171870.11,158238.25,13631.86,0,175000,171870.11,,0,0,2013
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Texas Children's Hospital,188,19240,171684.73,158914.54,12770.19,200,230000,531085.52,2015,226723.79,201,2016
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Karbach Brewing Co.,194,19290,171285.99,153745.59,17540.4,335,130000,481898.12,2015,120473.45,151,2016
Colorado - Bike MS 2013,20901,Corporate,,15,1106,171113,40513,130600,0,100000,171113,2012,60600,17,2013
CAS 2016 Bike MS: Bay to Bay,27876,Corporate,Wescom Credit Union,118,990,170526.5,121782.62,48743.88,288.5,165000,534199.09,2016,150635,101,2017
MOS 2015 Bike MS: Express Scripts Gateway Getaway Ride,25028,Corporate,Hogan,174,6400,170037.3,130339.3,39698,690,135000,449386.08,,0,0,2015
FLS 2016 Bike MS: Breakaway to Key Largo,26536,Corporate,BACARDI,164,3050,169010.07,90358.02,78652.05,485,160000,276756.07,2015,105200,159,2016
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Occidental Petroleum Corporation,88,7830,168867.99,78057.44,90810.55,825,150000,396339.23,2016,117846.05,77,2017
"Texas, Houston - 2014 BP MS 150",22598,Corporate,LyondellBasell,136,13710,168717.36,119237.22,49480.14,200,85000,168717.36,2013,78645.4,56,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,148,14840,165950,124600.37,41349.63,425,100000,165950,2013,43900.88,67,2014
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Anadarko Petroluem Corporation,82,8220,162785.31,114411.15,48374.16,1300,150000,601722.62,2015,294485.04,159,2016
UTU 2016 Bike MS: Logan,27426,Corporate,Harmons,147,2420.5,161877.39,64415.99,97461.4,387,130000,445510.01,2015,130591.93,178,2016
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Team Gardere,93,9340,161782.51,108426,53356.51,350,156000,161782.51,,0,0,2014
TXH 2016 Bike MS: BP MS 150,27003,Corporate,NOV,121,12100,161626.02,137928.36,23697.66,250,205000,364949.3,2015,201118.28,145,2016
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Noble Energy,70,7240,160994.93,78048.35,82946.58,1335,0,269176.08,2014,182214.23,77,2015
"TXH Texas, San Antonio - Bike MS 2014",22999,Corporate,H-E-B,171,600,160865.02,101788,59077.02,270,100000,160865.02,,0,0,2015
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Sun & Ski,132,11570,160111.41,129539.04,30572.37,260,300000,542056.64,2016,157577.55,156,2017
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Houston Builders,98,9700,159067.32,135314.41,23752.91,0,195000,159067.32,,0,0,2013
"Texas, Houston - 2014 BP MS 150",22598,Corporate,MRE Consulting Ltd,64,6790,158996.95,143575,15421.95,300,150000,158996.95,,0,0,2014
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Urban Bicycle Gallery,98,9255,158910.98,96145.99,62764.99,4850,120000,454844.35,2016,156415.1,96,2017
MNM 2017 Bike MS: MS 150 Ride,28105,Corporate,,160,3163.5,158909.19,120558.19,38351,5250,175000,159209.19,,0,0,2017
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Sun & Ski,158,15929.98,157577.55,130750.34,26827.21,304,225000,542056.64,2015,220457.68,210,2016
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Gardere Wynne Sewell LLP,65,6810,157002.13,107485.25,49516.88,800,150000,427077.98,,0,0,2015
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Urban Bicycle Gallery,96,9489.99,156415.1,87897,68518.1,650,120000,454844.35,2015,136393.27,72,2016
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,89,8800,155862.64,114647.64,41215,175,165000,155862.64,,0,0,2013
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Marathon Oil,101,10170,155815.86,130555.59,25260.27,300,150000,155815.86,,0,0,2014
WAS 2014 Bike MS - Washington,23318,Corporate,Concur,102,1410,155662.04,152157.03,3505.01,0,100000,155662.04,,0,0,2014
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Schlumberger,169,16700,155635.77,128442.23,27193.54,0,165000,155635.77,2012,135605.52,173,2013
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Schlumberger,163,16900,154901.04,131217.7,23683.34,295,200000,524213.78,2015,178673.97,164,2016
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,114,11400,154629.26,117404.8,37224.46,50,130000,154629.26,,0,0,2013
MNM 2016 Bike MS: MS 150 Ride,27006,Corporate,,151,3256,153787.83,113529.83,40258,1357.5,150000,153787.83,,0,0,2016
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Tacodeli,138,13685,153451.97,135293.97,18158,100,160000,430721.18,2016,152448.37,111,2017
UTU 2017 Bike MS: Logan,28813,Corporate,Harmons,140,2285,152940.69,52432,100508.69,520,130000,445510.01,2016,161877.39,147,2017
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Oceaneering,84,8520,152895.9,109049.95,43845.95,400,125000,152895.9,,0,0,2014
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,"EOG RESOURCES, INC.",51,5010,152570.6,59919.12,92651.48,150,120000,337765,2014,132401,42,2015
WAS 2015 Bike MS: Deception Pass Classic,25436,Corporate,Concur,117,705,151283.31,144025.31,7258,0,150000,258637.27,2014,155662.04,99,2015
CAS Bike MS 2015,26037,Corporate,Wescom Credit Union,101,790,150635,113910,36725,50,150000,534199.09,,0,0,2016
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,92,9410,150306.55,123606.55,26700,0,130000,150306.55,,0,0,2014
NYN 2015 Bike MS: New York City,26036,Corporate,Barclays,66,2168.12,147136.67,33210,113926.67,60,150000,365529.67,,0,0,2016
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Dow Chemical,127,12400,146088.52,109116.51,36972.01,425,125000,146088.52,,0,0,2013
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Anadarko Petroluem Corporation,54,4935,143417.27,111000.27,32417,3920,130000,601722.62,2016,162785.31,82,2017
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Gardere Wynne Sewell LLP,55,5479.99,142862.69,100016.8,42845.89,0,160000,427077.98,2015,157002.13,65,2016
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Lime Rock,54,5400,142501.51,133486.51,9015,1050,72000,142501.51,,0,0,2013
"TXH Texas, San Antonio - Bike MS 2014",22999,Corporate,Valero,92,2980,141953.99,58384.43,83569.56,210,140000,141953.99,,0,0,2015
MOS 2016 Bike MS: Express Scripts Gateway Getaway Ride 2016,27053,Corporate,Hogan,151,3645.52,141942.55,107673.55,34269,1035,175000,449386.08,2015,170037.3,162,2016
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,,91,9290,140890.24,108605.24,32285,50,200000,319736.69,,0,0,2015
TXH 2016 Bike MS: BP MS 150,27003,Corporate,MRE Consulting,50,5079.99,140367.97,127193.94,13174.03,435,150000,447378.37,2015,171963.4,60,2016
CAS Bike MS 2014,23956,Corporate,Wescom Credit Union,123,800,140073.94,99560.84,40513.1,65,100000,140073.94,,0,0,2015
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Phillips 66,74,7930,139745.2,94551.9,45193.3,3660,125000,332874.38,,0,0,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,The Dow Chemical Company,131,13580,139620.1,105627,33993.1,0,150000,139620.1,,0,0,2014
MOS 2017 Bike MS: Gateway Getaway Ride,28272,Corporate,,136,4910,137302.23,106876.23,30426,1275,175000,449386.08,2016,141942.55,139,2017
COC 2017 Bike MS Colorado,28914,Corporate,GLP,10,98,136685,74485,62200,0,100000,673105.33,2016,252144.33,16,2017
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Urban Bicycle Gallery,74,7820,136393.27,76540.53,59852.74,425,120000,454844.35,,0,0,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Ensco,71,6960,134573.78,106138.9,28434.88,400,125000,134573.78,,0,0,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Phillips 66,62,6350,134146.75,91535.07,42611.68,350,125000,134146.75,,0,0,2014
TXH 2017 Bike MS: BP MS 150,28263,Corporate,MRE Consulting,35,3635,133897,126712,7185,3300,150000,447378.37,2016,140367.97,50,2017
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Direct Energy,73,7550,133653.48,94860.51,38792.97,200,200000,298014.32,,0,0,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,FMC Technologies Inc.,131,13510,133497.81,98297.54,35200.27,100,120000,133497.81,,0,0,2014
NYN 2012 Bike MS New York City,18354,Corporation,,72,3242.76,133138,30783,102355,0,150000,133138,,0,0,2013
WAS 2013 Bike MS - Washington,21128,Corporate,,151,4915,132482.08,104417.2,28064.88,215,150000,132482.08,,0,0,2013
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Katz's Deli,24,2280,132401.43,106710.43,25691,100,100000,132401.43,2013,267844.88,27,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,"EOG Resources, Inc.",45,4680,132401,51547.55,80853.45,400,115000,132401,2013,110583,43,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Wood Group,105,11150,132168.3,96311.03,35857.27,0,150000,132168.3,,0,0,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Southwestern Energy Company,36,3530,132139.39,84384.66,47754.73,711.74,120000,132139.39,,0,0,2014
